Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,190.67,752.28
6,1,228.8,888.33
7,1,266.93,1024.38
5,2,381.33,942.95
6,2,457.6,1117.13
7,2,533.87,1291.31
5,3,515.67,1077.28
6,3,618.8,1278.33
7,3,721.93,1479.38
