Machine ID,Operation (days/wk),Tours/Day,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
LCTS 1,7,3,378.5,631.1,668.5,1678.1,1219.3989
LCTS 2,7,3,220.69,578.12,879.29,1678.1,1219.3989
