Machine ID,Operation (days/wk),Tours/Day,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
LCTS 1,5,1,187.83,313.18,331.74,832.75,0
LCTS 2,,,187.58,491.39,747.38,1758.25,0
