Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,52,412
6,1,62,479
7,1,73,547
5,2,104,464
6,2,125,542
7,2,146,620
5,3,156,516
6,3,187,604
7,3,218,692
