Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,13.0,127.4
6,1,15.6,149.83
7,1,18.2,172.27
5,2,26.0,140.4
6,2,31.2,165.43
7,2,36.4,190.47
5,3,39.0,153.4
6,3,46.8,181.03
7,3,54.6,208.67
