Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,117,347.69
5,2,234,464.69
5,3,351,581.69
6,1,140.4,417.22
6,2,280.8,557.62
6,3,421.2,698.02
7,1,168.48,500.66
7,2,336.96,669.14
7,3,505.44,837.18
