Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,130.00,617.59
6,1,156.00,711.02
7,1,182.00,804.45
5,2,260.00,747.59
6,2,312.00,867.02
7,2,364.00,986.45
5,3,260.00,747.59
6,3,312.00,867.02
7,3,364.00,986.45
