Machine ID,Stackers,Operation (days/wk),Tours/Day,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
DBCS 4,302,7,3,1123.25,518.57,506.64,2148.46,837.21
DBCS 5,302,7,3,1119.17,515.25,514.04,2148.46,837.21
DBCS 3,302,7,3,1123.53,518.91,506.02,2148.46,837.21
DBCS 2,302,7,3,1120.99,523.2,504.27,2148.46,837.21
