Machine ID,Stackers,Operation (days/wk),Tours/Day,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
DBCS 4,302,7,2,1084.59,500.72,489.20,2074.87,556.13
DBCS 5,302,7,2,1065.08,490.35,489.2,2044.63,556.13
DBCS 3,302,7,2,1087.09,502.08,489.61,2078.78,558.13
DBCS 2,302,7,2,1088.9,508.22,489.84,2096.96,558.13
