Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,108.3352,556.33
6,1,130.0012,653.5
7,1,151.6672,750.67
5,2,216.6652,664.66
6,2,260.0012,783.5
7,2,303.3372,902.34
