File Name,Column 1 Header,Column 2 Header,Column 3 Header,Column 4 Header,Column 5 Header,Column 6 Header,Column 7 Header,Column 8 Header
MMO-061-15-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-062-00-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-063-00-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-065-02-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-067-12-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-073-12-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-075-10-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-076-10-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-076-22-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-077-08-Labor-Lookup.csv,Machine Type,Total (hrs/yr),,,,,,
MMO-077-10-Labor-Lookup.csv,Machine Type,Total (hrs/yr),,,,,,
MMO-077-12-Labor-Lookup.csv,Inductions,Operation (days/wk),Total (hrs/yr),,,,,
MMO-078-10-Labor-Lookup.csv,Machine Type,Total (hrs/yr),,,,,,
MMO-078-12-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Total (hrs/yr),,,,,
MMO-079-10-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-079-12-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-080-10-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-080-12-Labor-Lookup.csv,Inductions,Operation (days/wk),Total (hrs/yr),,,,,
MMO-081-10-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-082-10-Labor-Lookup.csv,Machine Type,Total (hrs/yr),,,,,,
MMO-083-10-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-087-13-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-088-99-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-089-13-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-090-16-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Transports,Inductions,Operational Maintenance (hrs/yr),Total (hrs/yr),,
MMO-090-20-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-092-12-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-092-14-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-093-14-Labor-Lookup.csv,Site,Inductions,LIM Modules,Operation (days/wk),Operational Maintenance (hrs/yr),Total (hrs/yr),,
MMO-093-99-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-094-22-Labor-Lookup.csv,Site,PSM #,Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-095-14-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-095-20-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-096-15-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-096-20-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-097-20-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-098-20-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-099-20-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-100-09-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-111-13-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-112-13-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-112-15-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-112-20-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-113-13-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-114-13-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-115-17-Labor-Lookup.csv,Machine Type,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-118-15-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-122-06-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-124-06-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Total (hrs/yr),,,,,
MMO-124-12-Labor-Lookup.csv,Terminal Type,Operation (days/wk),Total (hrs/yr),,,,,
MMO-124-16-Labor-Lookup.csv,Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-124-23-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-125-16-Labor-Lookup.csv,Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-126-16-Labor-Lookup.csv,Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-127-12-Labor-Lookup.csv,Operation (days/wk),Operational Maintenance (hrs/yr),Total (hrs/yr),,,,,
MMO-128-06-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-128-12-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-130-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-131-06-Labor-Lookup.csv,Machine Type,Operation (days/wk),Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-131-16-Labor-Lookup.csv,Machine Type,Operation (days/wk),Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-131-19-Labor-Lookup.csv,Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-131-98-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-132-11-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-132-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-135-06-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-136-19-Labor-Lookup.csv,Inductions,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
