Acronym,Class Code,Pub Num
SSO,AA,MMO-079-12
TACS,AA,MMO-088-14
TAGBLSTR,AA,MMO-146-11
TAGBLSTR,AB,MMO-146-11
TDR,AA,MMO-092-14
TDS,AA,MMO-100-09
TMS,AA,MMO-121-01
TMS,BA,MMO-121-01
TMS,CA,MMO-121-01
TOWVE,BA,MMO-078-12
TOWVE,LA,MMO-078-12
TOWVE,SA,MMO-078-12
TOWVE,ZZ,MMO-078-12
TSM,CA,MMO-112-13
TT,BA,MMO-082-10
TT,GA,MMO-075-10
TT,IA,MMO-078-10
VFS,AA,MMO-135-06
VFS,BA,MMO-007-07
VTU,AA,MMO-113-13
