Machine ID,Machine Type,Machines,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
TACS CAPE,HEBR,31,0,34.18,108.42,142.6,
TACS FIELD-EBRS,HEBR,81,0,89.38,283.22,372.6,
TACS PLANT,HEBR,12,0,13.23,41.97,55.2,
