Machine ID,Machines,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
CONTU 1,1,6.06,0,0,6.06,
CONTU 2,1,6.06,0,0,6.06,
CONTU 3,1,6.06,0,0,6.06,
