Machine ID,Machines,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
PIVMS VAC_ALL,14,12.14,149.30,12.14,173.57,
PIVMS BASE-UNIT,1,1.82,1.82,22.39,26.03,
