Machine ID,Machines,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
PIVMS VAC_ALL,14,37.63,462.76,37.63,538.02,
PIVMS BASE-UNIT,1,2.69,2.69,33.06,38.43,
