Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,28.17,87.73
5,2,56.33,115.89
5,3,84.5,144.06
6,1,33.8,103.27
6,2,67.6,137.07
6,3,101.4,170.87
7,1,39.43,118.82
7,2,78.87,158.26
7,3,117.61,197.69
