Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,164.666,845.06
6,1,197.5939,994.49
7,1,230.5361,1143.92
5,2,329.336,1009.73
6,2,395.1939,1192.09
7,2,461.0761,1374.46
5,3,493.996,1174.39
6,3,592.7939,1389.69
7,3,691.6061,1604.99
