Machine ID,Operation (days/wk),MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
ASD 22,7,193.17,41.63,5,239.8,
ASD 30,7,193.17,41.63,5,239.8,
