Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,155.9996,1384.77
6,1,187.1936,1553.53
7,1,218.3976,1722.3
5,2,311.9996,1540.77
6,2,374.3936,1740.73
7,2,436.7976,1940.7
5,3,467.9996,1696.77
6,3,561.5936,1927.93
7,3,655.1976,2159.1
