Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,39.0,176.28
6,1,46.8,203.91
7,1,54.6,231.55
5,2,78.0,215.28
6,2,93.6,250.71
7,2,109.2,286.15
5,3,117.0,254.28
6,3,140.4,297.51
7,3,163.8,340.75
