Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,234.00,1800.87
6,1,280.80,1940.84
7,1,327.60,2448.87
5,2,359.67,1926.54
6,2,431.60,2091.64
7,2,503.53,2624.80
5,3,485.34,2052.21
6,3,582.40,2242.44
7,3,679.46,2800.73
