Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","11/29/24 15:42","11/29/24 16:47","6039","S 11/29/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","11/29/24 17:42","11/29/24 19:07","9951","S 11/29/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","11/29/24 19:11","11/29/24 19:26","3434","S 11/29/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","11/29/24 19:43","11/29/24 21:43","32402","S 11/29/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","11/29/24 21:45","11/29/24 22:21","8806","S 11/29/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","12/02/24 17:03","12/02/24 21:15","64938","S 12/02/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","8","12/02/24 21:18","12/03/24 01:44","74506","S 12/03/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","12/03/24 17:02","12/03/24 19:04","21567","S 12/03/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","12/03/24 19:06","12/04/24 02:14","68211","S 12/04/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","12/04/24 17:04","12/05/24 00:07","89423","S 12/05/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","9","12/05/24 00:12","12/05/24 01:05","10780","S 12/05/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","11/29/24 15:20","11/29/24 16:50","9423","S 11/29/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","11/29/24 17:41","11/29/24 22:21","37410","S 11/29/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","12/02/24 17:03","12/03/24 01:46","107861","S 12/03/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","12/03/24 17:01","12/03/24 23:40","85814","S 12/03/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","9","12/03/24 23:50","12/04/24 02:12","22964","S 12/04/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","12/04/24 17:48","12/05/24 01:05","95286","S 12/05/24","NS",
"02301-9997","AFSM100","1","466000","466F7368","3","1","11/28/24 15:03","11/28/24 16:00","4437","S 11/28/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","2","11/28/24 16:00","11/28/24 20:49","18924","S 11/28/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","11/28/24 20:50","11/28/24 21:45","5213","S 11/28/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","3","4","11/28/24 21:47","11/29/24 00:04","6475","S 11/29/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","1","11/29/24 00:09","11/29/24 00:38","2226","S 11/29/24","S",
"02301-9997","AFSM100","1","466000","466F7343","1","2","11/29/24 00:39","11/29/24 01:04","2956","S 11/29/24","S",
"02301-9997","AFSM100","1","466000","466F7359","1","3","11/29/24 01:51","11/29/24 03:35","14962","S 11/29/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","4","11/29/24 03:46","11/29/24 04:34","9569","S 11/29/24","S",
"02301-9997","AFSM100","1","466000","466F7361","1","5","11/29/24 04:46","11/29/24 05:05","2753","S 11/29/24","S",
"02301-9997","AFSM100","1","466000","466F7043","1","6","11/29/24 05:14","11/29/24 05:48","6332","S 11/29/24","S",
"02301-9997","AFSM100","1","466000","466F7361","3","3","11/29/24 14:34","11/29/24 16:01","7999","S 11/29/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","11/29/24 16:18","11/29/24 17:01","3683","S 11/29/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","2","11/29/24 17:33","11/29/24 18:58","10588","S 11/29/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","11/29/24 19:25","11/29/24 19:56","2616","S 11/29/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","4","11/29/24 20:06","11/29/24 22:06","17212","S 11/29/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","3","5","11/29/24 22:34","11/29/24 22:57","3205","S 11/29/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","1","11/29/24 23:06","11/29/24 23:30","4100","S 11/29/24","S",
"02301-9997","AFSM100","1","466000","466F7343","1","2","11/29/24 23:37","11/30/24 00:14","3793","S 11/30/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","3","11/30/24 00:25","11/30/24 00:44","2670","S 11/30/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","4","11/30/24 01:34","11/30/24 02:48","8418","S 11/30/24","S",
"02301-9997","AFSM100","1","466000","466F7359","1","5","11/30/24 02:59","11/30/24 03:44","7928","S 11/30/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","7","11/30/24 04:04","11/30/24 04:45","6705","S 11/30/24","S",
"02301-9997","AFSM100","1","466000","466F7043","1","8","11/30/24 04:50","11/30/24 05:28","7157","S 11/30/24","S",
"02301-9997","AFSM100","1","466000","466F7361","1","9","11/30/24 05:34","11/30/24 06:07","3564","S 11/30/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","11/30/24 15:21","11/30/24 16:29","8116","S 11/30/24","NS",
