Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","09/11/24 17:27","09/11/24 21:54","53889","S 09/11/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","09/12/24 17:39","09/12/24 18:29","12001","S 09/12/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","09/12/24 18:37","09/12/24 21:31","40882","S 09/12/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","09/13/24 18:18","09/13/24 18:20","41","S 09/13/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","09/13/24 19:22","09/13/24 22:38","43399","S 09/13/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","09/16/24 17:39","09/16/24 21:57","54035","S 09/16/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","09/17/24 18:05","09/17/24 21:17","41945","S 09/17/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","09/18/24 17:52","09/18/24 21:57","61743","S 09/18/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","09/11/24 18:02","09/11/24 18:03","40","S 09/11/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","09/11/24 18:07","09/11/24 18:17","1442","S 09/11/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","09/11/24 18:23","09/11/24 18:30","1189","S 09/11/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","10","09/11/24 19:18","09/11/24 22:03","30160","S 09/11/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","09/12/24 19:18","09/12/24 21:37","29823","S 09/12/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","09/13/24 18:22","09/13/24 20:04","13214","S 09/13/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","09/13/24 20:05","09/13/24 22:31","24467","S 09/13/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","09/16/24 17:37","09/16/24 22:04","48791","S 09/16/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","09/17/24 18:03","09/17/24 18:18","2345","S 09/17/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","09/17/24 18:19","09/17/24 20:30","20614","S 09/17/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","09/17/24 20:42","09/17/24 21:06","3245","S 09/17/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","09/18/24 17:47","09/18/24 17:54","1086","S 09/18/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","09/18/24 19:23","09/18/24 21:17","18089","S 09/18/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","09/18/24 21:19","09/18/24 21:57","4516","S 09/18/24","NS",
"02301-9997","AFSM100","1","466000","466F7361","2","5","09/11/24 12:47","09/11/24 13:05","1190","S 09/11/24","S",
"02301-9997","AFSM100","1","466000","466F7361","2","6","09/11/24 13:06","09/11/24 14:07","4437","S 09/11/24","S",
"02301-9997","AFSM100","1","466000","466F7361","2","7","09/11/24 14:08","09/11/24 15:21","6567","S 09/11/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","09/11/24 15:36","09/11/24 16:28","7645","S 09/11/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","2","09/11/24 17:16","09/11/24 18:07","7081","S 09/11/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","3","4","09/11/24 18:18","09/11/24 19:04","3809","S 09/11/24","S",
"02301-9997","AFSM100","1","466000","466F7343","3","5","09/11/24 19:24","09/11/24 19:42","1252","S 09/11/24","S",
"02301-9997","AFSM100","1","461000","461F0OGP","3","6","09/11/24 19:49","09/11/24 22:10","12771","S 09/11/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","1","7","09/11/24 22:18","09/12/24 00:37","11362","S 09/12/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","1","09/12/24 00:42","09/12/24 01:10","2911","S 09/12/24","NS",
"02301-9997","AFSM100","1","466000","466F7359","1","2","09/12/24 01:55","09/12/24 03:00","9139","S 09/12/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","3","09/12/24 03:06","09/12/24 03:46","5066","S 09/12/24","S",
"02301-9997","AFSM100","1","466000","466F7043","1","4","09/12/24 04:31","09/12/24 05:11","5759","S 09/12/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","5","09/12/24 05:14","09/12/24 05:39","3771","S 09/12/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","6","09/12/24 05:42","09/12/24 06:00","2594","S 09/12/24","S",
"02301-9997","AFSM100","1","466000","466F7368","2","3","09/12/24 12:33","09/12/24 13:26","7502","S 09/12/24","S",
"02301-9997","AFSM100","1","466000","466F7368","2","4","09/12/24 14:06","09/12/24 14:41","5266","S 09/12/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","5","09/12/24 14:57","09/12/24 21:06","22772","S 09/12/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","1","09/12/24 21:13","09/13/24 00:23","17130","S 09/13/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","1","1","09/13/24 00:24","09/13/24 00:36","258","S 09/13/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","2","09/13/24 00:53","09/13/24 01:14","1767","S 09/13/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","3","09/13/24 01:25","09/13/24 02:20","7318","S 09/13/24","S",
"02301-9997","AFSM100","1","466000","466F7343","1","4","09/13/24 02:40","09/13/24 03:26","6699","S 09/13/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","5","09/13/24 03:35","09/13/24 04:11","5669","S 09/13/24","S",
