Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","10/31/23 19:13","10/31/23 22:15","45495","S 10/31/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","2","1","11/01/23 10:04","11/01/23 10:06","1","S 11/01/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","11/01/23 19:14","11/01/23 23:55","62920","S 11/02/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","11/02/23 19:36","11/02/23 22:31","8156","S 11/02/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","9","11/02/23 23:07","11/03/23 00:31","19852","S 11/03/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","11/03/23 19:13","11/03/23 22:24","43212","S 11/03/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","11/03/23 22:26","11/03/23 22:37","3698","S 11/03/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","11/06/23 19:13","11/06/23 23:49","60964","S 11/07/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","10/31/23 19:13","10/31/23 22:28","38893","S 10/31/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","11/01/23 19:12","11/01/23 23:09","26758","S 11/01/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","11/02/23 19:10","11/02/23 21:41","24513","S 11/02/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","11/02/23 21:48","11/02/23 22:55","12240","S 11/02/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","7","11/02/23 22:57","11/03/23 00:30","24654","S 11/03/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","11/03/23 19:13","11/03/23 22:21","36526","S 11/03/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","11/03/23 22:23","11/03/23 22:46","4668","S 11/03/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","11/06/23 19:12","11/06/23 23:43","46926","S 11/06/23","NS",
"02301-9997","AFSM100","4","463000","463F0M30","2","3","10/31/23 11:23","10/31/23 13:28","13776","S 10/31/23","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","4","10/31/23 14:16","10/31/23 16:59","18258","S 10/31/23","NS",
"02301-9997","AFSM100","4","466000","466F7025","3","1","10/31/23 17:05","10/31/23 19:29","8508","S 10/31/23","S",
"02301-9997","AFSM100","4","466000","466F7343","3","2","10/31/23 19:36","10/31/23 20:31","7389","S 10/31/23","S",
"02301-9997","AFSM100","4","461000","461F0OGP","3","3","10/31/23 20:38","10/31/23 22:43","19836","S 10/31/23","NS",
"02301-9997","AFSM100","4","462000","462F0OVR","1","1","10/31/23 23:00","11/01/23 00:15","4494","S 11/01/23","NS",
"02301-9997","AFSM100","4","466000","466F7072","1","2","11/01/23 00:24","11/01/23 01:02","4745","S 11/01/23","S",
"02301-9997","AFSM100","4","466000","466F7072","1","3","11/01/23 01:03","11/01/23 01:35","1079","S 11/01/23","S",
"02301-9997","AFSM100","4","466000","466F7359","1","4","11/01/23 01:44","11/01/23 02:51","7443","S 11/01/23","S",
