Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/20/25 17:41","02/20/25 19:25","19740","S 02/20/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","02/20/25 19:52","02/20/25 22:06","30863","S 02/20/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","02/20/25 22:11","02/20/25 23:38","21832","S 02/20/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/21/25 17:38","02/21/25 20:02","29495","S 02/21/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","02/21/25 20:40","02/21/25 21:53","19104","S 02/21/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","02/21/25 22:12","02/21/25 22:37","2119","S 02/21/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","02/24/25 17:40","02/24/25 18:13","6212","S 02/24/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/24/25 18:33","02/24/25 19:27","7122","S 02/24/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","02/24/25 20:05","02/24/25 23:33","39164","S 02/24/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/25/25 17:34","02/25/25 20:02","36278","S 02/25/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","02/25/25 20:06","02/25/25 22:19","26883","S 02/25/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","02/26/25 16:38","02/26/25 16:56","3786","S 02/26/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/26/25 17:38","02/26/25 19:24","20925","S 02/26/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","02/26/25 20:00","02/26/25 21:57","26286","S 02/26/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","02/26/25 22:16","02/26/25 23:02","8694","S 02/26/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","02/20/25 17:41","02/20/25 18:31","123","S 02/20/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/20/25 18:37","02/20/25 18:39","40","S 02/20/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","02/20/25 18:40","02/20/25 19:39","2688","S 02/20/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","02/20/25 19:41","02/20/25 19:54","343","S 02/20/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","02/20/25 20:44","02/20/25 22:06","9787","S 02/20/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","11","02/20/25 22:42","02/20/25 22:52","26","S 02/20/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","12","02/20/25 22:55","02/20/25 23:21","2115","S 02/20/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/21/25 17:40","02/21/25 19:37","14328","S 02/21/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","7","02/21/25 20:05","02/21/25 22:39","17610","S 02/24/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","02/24/25 17:31","02/24/25 20:05","18012","S 02/24/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/24/25 20:35","02/25/25 00:44","39029","S 02/25/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/25/25 18:04","02/25/25 19:22","9121","S 02/25/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","02/25/25 20:03","02/25/25 22:18","17144","S 02/25/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","02/26/25 16:38","02/26/25 16:56","160","S 02/26/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/26/25 17:39","02/26/25 20:09","19642","S 02/26/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","02/26/25 20:33","02/26/25 20:57","1541","S 02/26/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","02/26/25 21:05","02/26/25 23:20","15330","S 02/26/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","02/20/25 15:19","02/20/25 16:31","10265","S 02/20/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","4","02/20/25 17:01","02/20/25 18:22","10128","S 02/20/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","5","02/20/25 18:32","02/20/25 19:30","6292","S 02/20/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","6","02/20/25 21:47","02/20/25 23:52","13935","S 02/21/25","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","1","02/21/25 00:05","02/21/25 00:26","1836","S 02/21/25","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","2","02/21/25 00:31","02/21/25 01:01","2766","S 02/21/25","S",
"02301-9997","AFSM100","1","466000","466F7343","1","3","02/21/25 01:41","02/21/25 02:06","2880","S 02/21/25","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","4","02/21/25 02:12","02/21/25 02:35","3284","S 02/21/25","S",
"02301-9997","AFSM100","1","466000","466F7368","1","5","02/21/25 02:41","02/21/25 03:11","4007","S 02/21/25","S",
"02301-9997","AFSM100","1","466000","466F7072","1","6","02/21/25 03:15","02/21/25 03:35","3195","S 02/21/25","S",
"02301-9997","AFSM100","1","466000","466F7359","1","7","02/21/25 03:41","02/21/25 04:18","5751","S 02/21/25","S",
"02301-9997","AFSM100","1","466000","466F7361","1","8","02/21/25 04:26","02/21/25 04:50","4273","S 02/21/25","S",
"02301-9997","AFSM100","1","466000","466F7043","1","9","02/21/25 04:53","02/21/25 05:14","4448","S 02/21/25","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","02/21/25 14:26","02/21/25 16:30","16104","S 02/21/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","02/21/25 17:02","02/21/25 17:58","8109","S 02/21/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","2","02/21/25 18:14","02/21/25 19:24","11022","S 02/21/25","NS",
