Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","DIOSS","11","483000","483FIM00","2","8","04/14/24 06:09","04/14/24 08:30","193","NS","NS",
"02301-9997","DBCS","8","893000","893FIM00","2","4","04/14/24 06:40","04/14/24 09:21","15731","S 04/14/24","NS",
"02301-9997","ATU","1","207000","ATU","2","2","04/14/24 07:00","04/14/24 15:00","564","S 04/14/24","NS",
"02301-9997","ATU","2","207000","ATU","2","2","04/14/24 07:00","04/14/24 15:00","395","S 04/14/24","NS",
"02301-9997","LCTS","2","619000","619Z023T","2","1","04/14/24 07:00","04/14/24 15:00","1031","S 04/14/24","NS",
"02301-9997","LCTS","1","619000","619Z0231","2","1","04/14/24 07:00","04/14/24 15:00","1097","S 04/14/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","1","04/14/24 07:04","04/14/24 07:59","9510","S 04/14/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","1","04/14/24 07:06","04/14/24 08:53","34306","S 04/14/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","04/14/24 07:12","04/14/24 07:54","76","S 04/14/24","NS",
"02301-9997","DIOSS","6","893000","893FIM00","2","2","04/14/24 07:59","04/14/24 08:08","3229","S 04/14/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","3","04/14/24 08:10","04/14/24 08:53","10933","S 04/14/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","1","04/14/24 08:45","04/14/24 08:56","344","NS","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","2","04/14/24 09:19","04/14/24 10:56","31417","S 04/14/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","2","04/14/24 09:33","04/14/24 10:52","29212","S 04/14/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","4","04/14/24 09:33","04/14/24 10:53","20051","S 04/14/24","NS",
"02301-9997","DBCS","8","893000","893FIM00","2","1","04/14/24 09:46","04/14/24 10:46","14805","S 04/14/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","04/14/24 10:14","04/14/24 10:31","8","S 04/15/24","NS",
"02301-9997","DBCS","8","918000","LV02018U","2","2","04/14/24 10:51","04/14/24 13:04","18720","S 04/14/24","S",
"02301-9997","LCREM","1","490000","490F0023","2","1","04/14/24 11:03","04/14/24 11:47","1215","S 04/14/24","NS",
"02301-9997","DBCS","4","918000","LV02061U","2","1","04/14/24 11:09","04/14/24 13:31","39397","S 04/14/24","NS",
"02301-9997","DBCS","3","918000","LV02330U","2","1","04/14/24 11:13","04/14/24 13:32","52222","S 04/14/24","NS",
"02301-9997","DBCS","1","918000","LV02090U","2","3","04/14/24 11:17","04/14/24 13:24","43954","S 04/14/24","S",
"02301-9997","DBCS","5","918000","LV02021U","2","1","04/14/24 11:18","04/14/24 13:27","23178","S 04/14/24","S",
"02301-9997","DBCS","2","918000","LV02360U","2","3","04/14/24 11:20","04/14/24 13:31","56707","S 04/14/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","04/14/24 11:30","04/14/24 11:32","9","S 04/15/24","NS",
"02301-9997","PSS","4","325000","PSS-RUN-325","2","1","04/14/24 11:33","04/14/24 11:41","45","S 04/15/24","NS",
"02301-9997","DIOSS","6","918000","LV02093U","2","5","04/14/24 11:34","04/14/24 12:52","11273","S 04/14/24","S",
"02301-9997","DIOSS","10","918000","LV02302U","2","3","04/14/24 11:34","04/14/24 12:54","41448","S 04/14/24","S",
"02301-9997","DIOSS","11","918000","LV02301U","2","3","04/14/24 11:50","04/14/24 12:28","10045","S 04/14/24","S",
"02301-9997","LCREM","1","487000","487F0023","2","2","04/14/24 12:01","04/14/24 13:12","5033","S 04/14/24","NS",
"02301-9997","PSS","4","325000","PSS-RUN-325","2","1","04/14/24 12:36","04/14/24 13:48","122","S 04/15/24","NS",
"02301-9997","MSA","1","308000","MSA-RUN-308","2","1","04/14/24 12:51","04/14/24 13:00","2","S 04/15/24","NS",
"02301-9997","DIOSS","6","918000","LV02093U","2","6","04/14/24 13:30","04/14/24 13:40","3377","S 04/14/24","S",
