Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","LCTS","2","619000","619Z023T","2","1","01/21/24 07:00","01/21/24 15:00","1019","S 01/21/24","NS",
"02301-9997","LCTS","1","619000","619Z0231","2","1","01/21/24 07:00","01/21/24 15:00","172","S 01/21/24","NS",
"02301-9997","ATU","2","207000","ATU","2","2","01/21/24 07:00","01/21/24 15:00","658","S 01/21/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","1","01/21/24 07:02","01/21/24 08:52","29170","S 01/21/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","1","01/21/24 07:05","01/21/24 08:53","27800","S 01/21/24","NS",
"02301-9997","ATU","1","207000","ATU","2","3","01/21/24 07:37","01/21/24 07:57","2","S 01/21/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","01/21/24 07:44","01/21/24 07:44","1","S 01/21/24","NS",
"02301-9997","ATU","1","207000","ATU","2","4","01/21/24 08:01","01/21/24 15:00","2","S 01/21/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","1","01/21/24 08:10","01/21/24 11:45","24601","S 01/21/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","01/21/24 08:50","01/21/24 08:55","12","S 01/22/24","NS",
"02301-9997","DIOSS","10","893000","893FIM00","2","2","01/21/24 09:34","01/21/24 09:37","1138","S 01/21/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","2","01/21/24 09:35","01/21/24 10:54","17721","S 01/21/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","3","01/21/24 09:38","01/21/24 10:51","19871","S 01/21/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","01/21/24 09:49","01/21/24 10:04","15","S 01/22/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","01/21/24 10:32","01/21/24 10:32","2","S 01/22/24","NS",
"02301-9997","DBCS","8","918000","LV02018U","2","1","01/21/24 11:13","01/21/24 11:58","17800","S 01/21/24","S",
