Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/27/25 17:33","02/27/25 20:02","37869","S 02/27/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","02/27/25 20:38","02/27/25 21:36","14928","S 02/27/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","02/27/25 22:16","02/27/25 22:20","19","S 02/27/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","02/28/25 19:03","02/28/25 20:05","12001","S 02/28/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/28/25 20:48","03/01/25 00:01","46976","S 03/01/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","2","5","03/03/25 09:18","03/03/25 09:20","2","S 03/03/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","03/03/25 17:26","03/03/25 19:25","25703","S 03/03/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","03/03/25 20:02","03/03/25 21:56","19618","S 03/03/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","9","03/03/25 22:01","03/04/25 00:02","24402","S 03/04/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","13","03/04/25 17:36","03/04/25 20:03","32684","S 03/04/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","14","03/04/25 20:18","03/04/25 22:40","32587","S 03/04/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","03/05/25 17:38","03/05/25 20:02","38483","S 03/05/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","03/05/25 20:37","03/05/25 21:52","19285","S 03/05/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/27/25 17:36","02/27/25 19:27","19965","S 02/27/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","02/27/25 20:02","02/27/25 22:20","12315","S 02/27/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","5","02/28/25 20:04","03/01/25 00:19","32960","S 03/04/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","03/03/25 17:43","03/03/25 20:02","30486","S 03/03/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","03/03/25 20:36","03/03/25 23:59","36803","S 03/04/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","03/04/25 17:39","03/04/25 19:24","12368","S 03/04/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","03/04/25 20:06","03/04/25 22:40","25078","S 03/04/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","03/05/25 17:39","03/05/25 19:24","12245","S 03/05/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","03/05/25 20:05","03/05/25 21:57","21978","S 03/05/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","02/27/25 14:20","02/27/25 16:26","14912","S 02/27/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","02/27/25 17:05","02/27/25 19:23","18110","S 02/27/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","2","02/27/25 20:11","02/27/25 22:10","10022","S 02/27/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","3","02/27/25 22:10","02/27/25 23:22","10969","S 02/27/25","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","1","02/27/25 23:33","02/27/25 23:55","1842","S 02/28/25","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","2","02/28/25 00:01","02/28/25 00:47","6307","S 02/28/25","S",
"02301-9997","AFSM100","1","466000","466F7343","1","3","02/28/25 00:54","02/28/25 01:00","472","S 02/28/25","S",
"02301-9997","AFSM100","1","466000","466F7343","1","4","02/28/25 01:35","02/28/25 02:16","4335","S 02/28/25","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","5","02/28/25 02:29","02/28/25 02:58","4914","S 02/28/25","S",
