Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","11/20/23 19:18","11/21/23 00:43","60988","S 11/21/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","11/21/23 18:01","11/21/23 18:10","1817","S 11/21/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","11/21/23 19:17","11/21/23 23:43","57826","S 11/21/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","11/22/23 19:09","11/22/23 23:24","56607","S 11/22/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","11/24/23 19:12","11/24/23 22:46","44931","S 11/24/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","11/27/23 17:43","11/27/23 18:43","13100","S 11/27/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","11/27/23 19:09","11/28/23 01:04","70915","S 11/28/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","11/20/23 19:16","11/21/23 00:45","63447","S 11/21/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","11/21/23 19:59","11/21/23 23:57","32195","S 11/22/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","11/22/23 19:09","11/22/23 23:32","47106","S 11/22/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","11/24/23 19:13","11/24/23 22:48","36355","S 11/24/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","11/27/23 17:41","11/27/23 18:43","4998","S 11/27/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","11/27/23 19:11","11/28/23 00:27","67530","S 11/28/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","8","11/28/23 00:45","11/28/23 01:10","3942","S 11/28/23","NS",
"02301-9997","AFSM100","4","466000","466F7BRK","2","1","11/20/23 07:09","11/20/23 07:23","112","S 11/20/23","S",
"02301-9997","AFSM100","4","466000","466F7368","2","3","11/20/23 10:43","11/20/23 11:16","4166","S 11/20/23","S",
"02301-9997","AFSM100","4","463000","463F0M30","2","4","11/20/23 11:21","11/20/23 15:58","8993","S 11/20/23","NS",
