Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","10/17/24 17:24","10/17/24 22:56","75291","S 10/17/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","10/18/24 19:19","10/19/24 00:00","48920","S 10/19/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","10/21/24 17:09","10/21/24 17:55","7673","S 10/21/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","10/21/24 18:45","10/21/24 22:52","60078","S 10/21/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","10/22/24 17:37","10/22/24 21:23","49311","S 10/22/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","10/23/24 17:09","10/23/24 17:51","10547","S 10/23/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","10/23/24 18:34","10/23/24 21:47","52148","S 10/23/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","10/23/24 21:53","10/23/24 22:35","5897","S 10/23/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","10/24/24 17:07","10/24/24 23:07","94779","S 10/24/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","10/17/24 17:38","10/17/24 18:42","5750","S 10/17/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","10/17/24 19:14","10/17/24 23:01","34966","S 10/17/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","10/18/24 19:21","10/18/24 23:54","61368","S 10/19/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","10/21/24 17:17","10/21/24 17:55","8576","S 10/21/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","10/21/24 18:45","10/21/24 22:57","49580","S 10/21/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","10/22/24 17:08","10/22/24 21:21","51397","S 10/22/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","10/23/24 17:31","10/23/24 18:52","10744","S 10/23/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","10/23/24 19:14","10/23/24 20:29","12658","S 10/23/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","10/23/24 20:32","10/23/24 22:36","21463","S 10/23/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","10/24/24 19:17","10/24/24 23:18","44015","S 10/24/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","10/17/24 14:42","10/17/24 15:30","5934","S 10/17/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","10/17/24 15:59","10/17/24 17:05","4096","S 10/17/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","2","10/17/24 17:05","10/17/24 18:57","9596","S 10/17/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","10/17/24 19:13","10/17/24 20:43","7243","S 10/17/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","4","10/17/24 20:50","10/17/24 22:09","7485","S 10/17/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","1","5","10/17/24 22:09","10/18/24 00:04","12033","S 10/18/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","1","10/18/24 00:13","10/18/24 00:33","2077","S 10/18/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","2","10/18/24 00:42","10/18/24 01:21","6152","S 10/18/24","S",
"02301-9997","AFSM100","1","466000","466F7343","1","3","10/18/24 01:28","10/18/24 02:10","5168","S 10/18/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","4","10/18/24 02:20","10/18/24 02:55","5463","S 10/18/24","S",
"02301-9997","AFSM100","1","466000","466F7359","1","5","10/18/24 03:08","10/18/24 03:40","6262","S 10/18/24","S",
"02301-9997","AFSM100","1","466000","466F7361","1","6","10/18/24 03:48","10/18/24 04:28","6921","S 10/18/24","S",
"02301-9997","AFSM100","1","466000","466F7043","1","7","10/18/24 04:37","10/18/24 05:22","8318","S 10/18/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","8","10/18/24 05:29","10/18/24 06:02","6790","S 10/18/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","9","10/18/24 06:07","10/18/24 06:46","7559","S 10/18/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","2","3","10/18/24 12:33","10/18/24 13:21","8567","S 10/18/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","2","4","10/18/24 14:04","10/18/24 15:54","16349","S 10/18/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","10/18/24 16:34","10/18/24 17:06","4440","S 10/18/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","2","10/18/24 17:16","10/18/24 17:41","2636","S 10/18/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","3","3","10/18/24 17:56","10/18/24 18:40","5775","S 10/18/24","S",
"02301-9997","AFSM100","1","461000","461F0OGP","3","4","10/18/24 18:49","10/18/24 22:14","17589","S 10/18/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","5","10/18/24 22:21","10/18/24 23:31","9075","S 10/18/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","1","10/18/24 23:37","10/19/24 00:13","4558","S 10/19/24","NS",
