Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","01/16/25 18:06","01/16/25 23:08","43251","S 01/16/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","01/17/25 18:06","01/17/25 19:55","25750","S 01/17/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","01/17/25 20:16","01/17/25 22:23","18765","S 01/17/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","8","01/17/25 22:52","01/20/25 10:43","8340","S 01/20/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","01/21/25 17:07","01/21/25 23:50","68458","S 01/22/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","01/22/25 17:47","01/22/25 23:38","68629","S 01/22/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","10","01/16/25 17:49","01/16/25 23:21","57468","S 01/16/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","01/17/25 18:07","01/17/25 18:24","1250","S 01/17/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","01/17/25 18:27","01/17/25 19:39","20393","S 01/17/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","01/17/25 19:59","01/17/25 20:06","1647","S 01/17/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","01/17/25 20:14","01/17/25 23:54","31710","S 01/18/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","01/21/25 18:07","01/21/25 22:00","12988","S 01/21/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","6","01/21/25 22:01","01/22/25 00:01","28115","S 01/22/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","01/22/25 17:54","01/22/25 19:31","12674","S 01/22/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","01/22/25 19:55","01/22/25 22:19","29395","S 01/22/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","01/22/25 22:24","01/22/25 23:33","9502","S 01/22/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","01/16/25 14:16","01/16/25 16:55","18458","S 01/16/25","NS",
