Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","ATU","1","207000","ATU","2","2","04/07/24 07:00","04/07/24 15:00","533","S 04/07/24","NS",
"02301-9997","ATU","2","207000","ATU","2","2","04/07/24 07:00","04/07/24 15:00","1159","S 04/07/24","NS",
"02301-9997","LCTS","2","619000","619Z023T","2","1","04/07/24 07:00","04/07/24 15:00","1870","S 04/07/24","NS",
"02301-9997","LCTS","1","619000","619Z0231","2","1","04/07/24 07:00","04/07/24 15:00","665","S 04/07/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","1","04/07/24 07:03","04/07/24 08:52","29776","S 04/07/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","1","04/07/24 07:06","04/07/24 07:53","10355","S 04/07/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","1","04/07/24 08:09","04/07/24 12:27","5096","S 04/07/24","NS",
"02301-9997","MSA","1","308000","MSA-RUN-308","2","1","04/07/24 08:28","04/07/24 08:47","23","S 04/08/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","2","04/07/24 08:34","04/07/24 09:25","17584","S 04/07/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","04/07/24 08:45","04/07/24 08:51","13","S 04/08/24","NS",
"02301-9997","MSA","2","308000","MSA-RUN-308","2","1","04/07/24 09:16","04/07/24 09:16","1","S 04/08/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","04/07/24 09:31","04/07/24 10:12","50","S 04/08/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","2","04/07/24 09:32","04/07/24 10:52","19336","S 04/07/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","3","04/07/24 09:33","04/07/24 10:53","30096","S 04/07/24","NS",
"02301-9997","MSA","1","308000","MSA-RUN-308","2","1","04/07/24 09:33","04/07/24 10:45","151","S 04/08/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","04/07/24 10:32","04/07/24 10:37","27","S 04/08/24","NS",
"02301-9997","DBCS","4","918000","LV02061U","2","1","04/07/24 11:14","04/07/24 13:24","54875","S 04/07/24","NS",
"02301-9997","DBCS","3","918000","LV02330U","2","1","04/07/24 11:18","04/07/24 12:52","36523","S 04/07/24","NS",
"02301-9997","DBCS","5","918000","LV02021U","2","4","04/07/24 11:21","04/07/24 13:02","38369","S 04/07/24","S",
"02301-9997","DBCS","1","918000","LV02090U","2","3","04/07/24 11:21","04/07/24 12:40","18003","S 04/07/24","S",
"02301-9997","DBCS","2","918000","LV02360U","2","1","04/07/24 11:27","04/07/24 12:57","35229","S 04/07/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","4","04/07/24 11:35","04/07/24 12:21","2062","S 04/07/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","3","04/07/24 11:38","04/07/24 12:53","25640","S 04/07/24","NS",
"02301-9997","MSA","1","308000","MSA-RUN-308","2","1","04/07/24 11:38","04/07/24 12:37","31","S 04/08/24","NS",
"02301-9997","DBCS","8","918000","LV02018U","2","1","04/07/24 11:45","04/07/24 12:56","21398","S 04/07/24","S",
"02301-9997","DIOSS","11","483000","483FIM00","2","5","04/07/24 12:29","04/07/24 12:51","7452","S 04/07/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","4","04/07/24 13:29","04/07/24 14:08","12915","S 04/07/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","6","04/07/24 13:32","04/07/24 14:04","11623","S 04/07/24","NS",
"02301-9997","AFSM100","4","466000","466F7043","2","3","04/07/24 13:40","04/07/24 14:33","3480","S 04/07/24","S",
"02301-9997","DBCS","8","918000","LV02018U","2","2","04/07/24 13:41","04/07/24 14:20","18030","S 04/07/24","S",
"02301-9997","DBCS","2","918000","LV02360U","2","2","04/07/24 14:13","04/07/24 15:14","24147","S 04/07/24","NS",
"02301-9997","DBCS","5","918000","LV02021U","2","5","04/07/24 14:20","04/07/24 15:29","28890","S 04/07/24","S",
"02301-9997","DBCS","4","918000","LV02061U","2","2","04/07/24 14:24","04/07/24 15:16","19121","S 04/07/24","NS",
"02301-9997","DBCS","3","918000","LV02330U","3","2","04/07/24 14:34","04/07/24 15:38","27157","S 04/07/24","NS",
"02301-9997","AFSM100","4","466000","466F7368","3","4","04/07/24 14:50","04/07/24 15:42","5611","S 04/07/24","S",
"02301-9997","LCTS","1","619000","619Z0231","3","2","04/07/24 15:00","04/07/24 23:00","10","S 04/07/24","NS",
"02301-9997","LCTS","2","619000","619Z023T","3","2","04/07/24 15:00","04/07/24 23:00","389","S 04/07/24","NS",
"02301-9997","ATU","2","207000","ATU","3","3","04/07/24 15:00","04/07/24 23:00","384","S 04/07/24","NS",
"02301-9997","PSS","1","325000","PSS-RUN-325","3","1","04/07/24 15:13","04/07/24 16:38","174","S 04/08/24","NS",
"02301-9997","MSA","2","308000","MSA-RUN-308","3","1","04/07/24 15:19","04/07/24 15:38","2","S 04/08/24","NS",
"02301-9997","MSA","1","308000","MSA-RUN-308","3","1","04/07/24 15:19","04/07/24 15:50","25","S 04/08/24","NS",
"02301-9997","DBCS","8","918000","LV02018U","3","3","04/07/24 15:24","04/07/24 16:04","18718","S 04/07/24","S",
"02301-9997","DBCS","4","919000","LV02061U-2","3","3","04/07/24 15:36","04/07/24 16:25","26336","S 04/07/24","S",
"02301-9997","PSS","5","325000","PSS-RUN-325","3","1","04/07/24 15:36","04/07/24 17:05","178","S 04/08/24","NS",
"02301-9997","DBCS","2","919000","LV02360U-2","3","3","04/07/24 15:36","04/07/24 16:25","27750","S 04/07/24","S",
"02301-9997","DBCS","1","918000","LV02090U","3","4","04/07/24 15:41","04/07/24 16:23","17794","S 04/07/24","S",
"02301-9997","DBCS","5","919000","LV02021U-2","3","6","04/07/24 15:46","04/07/24 16:28","22430","S 04/07/24","S",
"02301-9997","DBCS","3","919000","LV02330U-2","3","3","04/07/24 15:56","04/07/24 16:27","15558","S 04/07/24","S",
"02301-9997","DIOSS","11","918000","LV02301U","3","7","04/07/24 16:15","04/07/24 17:24","25034","S 04/07/24","S",
"02301-9997","MSA","1","308000","MSA-RUN-308","3","1","04/07/24 16:17","04/07/24 17:03","15","S 04/08/24","NS",
"02301-9997","MSA","2","308000","MSA-RUN-308","3","1","04/07/24 16:36","04/07/24 16:36","1","S 04/08/24","NS",
"02301-9997","DBCS","4","919000","LV02061U-2","3","4","04/07/24 17:01","04/07/24 18:55","64175","S 04/07/24","S",
"02301-9997","DBCS","5","919000","LV02021U-2","3","7","04/07/24 17:01","04/07/24 18:47","57767","S 04/07/24","S",
"02301-9997","DBCS","3","919000","LV02330U-2","3","4","04/07/24 17:02","04/07/24 18:55","52312","S 04/07/24","S",
"02301-9997","PSS","1","325000","PSS-RUN-325","3","1","04/07/24 17:06","04/07/24 17:22","31","S 04/08/24","NS",
"02301-9997","DBCS","2","919000","LV02360U-2","3","4","04/07/24 17:07","04/07/24 18:45","55714","S 04/07/24","S",
"02301-9997","MSA","2","308000","MSA-RUN-308","3","1","04/07/24 17:18","04/07/24 17:20","3","S 04/08/24","NS",
"02301-9997","DBCS","1","919000","LV02090U-2","3","5","04/07/24 17:30","04/07/24 18:52","36061","S 04/07/24","S",
"02301-9997","PSS","5","325000","PSS-RUN-325","3","1","04/07/24 17:45","04/07/24 17:51","8","S 04/08/24","NS",
"02301-9997","PSS","1","325000","PSS-RUN-325","3","1","04/07/24 17:48","04/07/24 20:11","374","S 04/08/24","NS",
"02301-9997","MSA","2","308000","MSA-RUN-308","3","1","04/07/24 18:04","04/07/24 18:04","1","S 04/08/24","NS",
"02301-9997","MSA","1","308000","MSA-RUN-308","3","1","04/07/24 18:09","04/07/24 18:10","1","S 04/08/24","NS",
"02301-9997","DIOSS","11","918000","LV02301U","3","8","04/07/24 18:15","04/07/24 19:37","29460","S 04/07/24","S",
"02301-9997","MSA","2","308000","MSA-RUN-308","3","1","04/07/24 18:28","04/07/24 18:29","1","S 04/08/24","NS",
"02301-9997","PSS","5","325000","PSS-RUN-325","3","1","04/07/24 18:39","04/07/24 18:43","11","S 04/08/24","NS",
"02301-9997","DBCS","1","919000","LV02090U-2","3","6","04/07/24 19:10","04/07/24 20:41","42369","S 04/07/24","S",
"02301-9997","DBCS","2","896000","896FA360","3","5","04/07/24 19:11","04/07/24 19:18","1254","S 04/07/24","S",
"02301-9997","DBCS","4","919000","LV02061U-2","3","5","04/07/24 19:14","04/07/24 19:46","15699","S 04/07/24","S",
"02301-9997","DBCS","3","919000","LV02330U-2","3","5","04/07/24 19:17","04/07/24 20:07","25604","S 04/07/24","S",
"02301-9997","DBCS","5","919000","LV02021U-2","3","8","04/07/24 19:17","04/07/24 19:37","9246","S 04/07/24","S",
"02301-9997","DIOSS","10","918000","LV02302U","3","4","04/07/24 19:18","04/07/24 21:35","54413","S 04/07/24","S",
"02301-9997","DIOSS","6","918000","LV02093U","3","7","04/07/24 19:19","04/07/24 21:03","40581","S 04/07/24","S",
"02301-9997","MSA","2","308000","MSA-RUN-308","3","1","04/07/24 19:23","04/07/24 19:23","1","S 04/08/24","NS",
"02301-9997","DBCS","2","918000","LV02382U","3","6","04/07/24 19:33","04/07/24 20:56","30667","S 04/07/24","NS",
"02301-9997","MSA","2","308000","MSA-RUN-308","3","1","04/07/24 19:43","04/07/24 19:43","2","S 04/08/24","NS",
"02301-9997","DBCS","5","896000","896FA021","3","9","04/07/24 19:50","04/07/24 20:03","2640","S 04/07/24","S",
"02301-9997","DIOSS","11","919000","LV02301U-2","3","9","04/07/24 19:53","04/07/24 20:54","30843","S 04/07/24","S",
"02301-9997","DBCS","4","896000","896FA061","3","6","04/07/24 20:01","04/07/24 20:08","2239","S 04/07/24","S",
"02301-9997","DBCS","3","896000","896FA330","3","6","04/07/24 20:12","04/07/24 20:20","2855","S 04/07/24","S",
"02301-9997","DBCS","5","918000","LV02027U","3","10","04/07/24 20:16","04/07/24 21:52","33143","S 04/07/24","S",
"02301-9997","DBCS","3","918000","LV02341U","3","7","04/07/24 20:33","04/07/24 20:53","8622","S 04/07/24","S",
"02301-9997","DBCS","4","918000","LV02333U","3","7","04/07/24 20:37","04/07/24 21:53","33949","S 04/07/24","S",
"02301-9997","DBCS","1","896000","896FA090","3","7","04/07/24 20:49","04/07/24 20:56","2259","S 04/07/24","S",
"02301-9997","DBCS","1","918000","LV02368U","3","8","04/07/24 21:04","04/07/24 21:49","16570","S 04/07/24","S",
"02301-9997","DBCS","2","918000","LV02382U","3","7","04/07/24 21:06","04/07/24 21:46","12018","S 04/07/24","NS",
"02301-9997","DIOSS","6","919000","LV02093U-2","3","8","04/07/24 21:28","04/07/24 21:50","9743","S 04/07/24","S",
"02301-9997","DBCS","3","918000","LV02341U","3","8","04/07/24 21:30","04/07/24 22:51","27446","S 04/07/24","S",
"02301-9997","DIOSS","11","919000","LV02301U-2","3","10","04/07/24 21:34","04/07/24 22:58","43117","S 04/07/24","S",
"02301-9997","PSS","1","325000","PSS-RUN-325","3","1","04/07/24 21:41","04/07/24 22:46","110","S 04/08/24","NS",
"02301-9997","MSA","1","308000","MSA-RUN-308","3","1","04/07/24 21:58","04/07/24 22:13","3","S 04/08/24","NS",
"02301-9997","MSA","2","308000","MSA-RUN-308","3","1","04/07/24 22:08","04/07/24 22:08","1","S 04/08/24","NS",
"02301-9997","APBS","2","439000","439PA023","1","8","04/07/24 22:24","04/07/24 23:59","5262","S 04/07/24","NS",
"02301-9997","DIOSS","6","919000","LV02093U-2","1","9","04/07/24 22:31","04/08/24 00:21","35680","S 04/08/24","S",
"02301-9997","DBCS","2","918000","LV02382U","3","8","04/07/24 22:32","04/07/24 22:45","5558","S 04/07/24","NS",
"02301-9997","DBCS","1","918000","LV02368U","1","9","04/07/24 22:36","04/08/24 00:06","40500","S 04/08/24","S",
"02301-9997","DBCS","4","918000","LV02333U","1","8","04/07/24 22:37","04/07/24 23:51","24259","S 04/07/24","S",
"02301-9997","DBCS","5","918000","LV02027U","3","11","04/07/24 22:39","04/07/24 23:13","5640","S 04/07/24","S",
"02301-9997","DIOSS","10","919000","LV02302U-2","1","5","04/07/24 22:42","04/08/24 00:26","50746","S 04/08/24","S",
"02301-9997","LCTS","2","619000","619Z023T","1","3","04/07/24 23:00","04/08/24 07:00","564","S 04/08/24","NS",
"02301-9997","ATU","2","207000","ATU","1","1","04/07/24 23:00","04/08/24 01:40","285","S 04/08/24","NS",
"02301-9997","LCTS","1","619000","619Z0231","1","3","04/07/24 23:00","04/08/24 07:00","1055","S 04/08/24","NS",
"02301-9997","DIOSS","11","919000","LV02301U-2","1","11","04/07/24 23:03","04/07/24 23:30","9247","S 04/07/24","S",
"02301-9997","PSS","4","325000","PSS-RUN-325","1","1","04/07/24 23:08","04/07/24 23:38","27","S 04/08/24","NS",
"02301-9997","DBCS","2","919000","LV02382U-2","1","9","04/07/24 23:18","04/08/24 00:20","31411","S 04/08/24","S",
"02301-9997","DBCS","3","918000","LV02341U","1","9","04/07/24 23:32","04/07/24 23:47","5899","S 04/07/24","S",
"02301-9997","DBCS","5","919000","LV02027U-2","1","12","04/07/24 23:40","04/08/24 00:23","21809","S 04/08/24","S",
"02301-9997","DIOSS","11","896000","896FA301","1","12","04/07/24 23:43","04/08/24 00:55","4344","S 04/08/24","S",
"02301-9997","DBCS","8","919000","LV02018U-2","1","4","04/08/24 00:00","04/08/24 03:33","79964","S 04/08/24","S",
"02301-9997","AFSM100","4","463000","463F0M30","1","2","04/08/24 00:01","04/08/24 01:31","17289","S 04/08/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","1","1","04/08/24 00:02","04/08/24 00:05","5","S 04/08/24","NS",
"02301-9997","DBCS","3","919000","LV02341U-2","1","10","04/08/24 00:06","04/08/24 00:54","27607","S 04/08/24","S",
"02301-9997","DBCS","4","919000","LV02333U-2","1","9","04/08/24 00:12","04/08/24 02:49","80839","S 04/08/24","S",
"02301-9997","PSS","4","325000","PSS-RUN-325","1","1","04/08/24 00:25","04/08/24 04:47","576","S 04/08/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","1","1","04/08/24 00:26","04/08/24 00:39","18","S 04/08/24","NS",
"02301-9997","DBCS","1","919000","LV02368U-2","1","10","04/08/24 00:29","04/08/24 03:46","101070","S 04/08/24","S",
"02301-9997","APBS","2","439000","439PA023","1","1","04/08/24 00:34","04/08/24 02:57","10908","S 04/08/24","NS",
"02301-9997","MSA","1","308000","MSA-RUN-308","1","1","04/08/24 00:35","04/08/24 00:35","1","S 04/08/24","NS",
"02301-9997","MSA","2","308000","MSA-RUN-308","1","1","04/08/24 00:37","04/08/24 00:43","10","S 04/08/24","NS",
"02301-9997","DIOSS","6","919000","LV02093U-2","1","10","04/08/24 01:02","04/08/24 02:49","39349","S 04/08/24","S",
"02301-9997","PSS","1","233000","PSS-RUN-233","1","1","04/08/24 01:03","04/08/24 01:16","27","S 04/08/24","NS",
"02301-9997","DBCS","5","919000","LV02027U-2","1","13","04/08/24 01:04","04/08/24 02:45","50216","S 04/08/24","S",
"02301-9997","DBCS","2","919000","LV02382U-2","1","10","04/08/24 01:04","04/08/24 02:47","54690","S 04/08/24","S",
