Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","ATU","2","207000","ATU","2","5","02/11/24 07:00","02/11/24 15:00","1153","S 02/11/24","NS",
"02301-9997","LCTS","1","619000","619Z0231","2","1","02/11/24 07:00","02/11/24 15:00","136","S 02/11/24","NS",
"02301-9997","LCTS","2","619000","619Z023T","2","1","02/11/24 07:00","02/11/24 15:00","2077","S 02/11/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","1","02/11/24 07:05","02/11/24 08:04","11649","S 02/11/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","1","02/11/24 07:06","02/11/24 08:55","27523","S 02/11/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","1","02/11/24 08:07","02/11/24 09:29","23566","S 02/11/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","2","02/11/24 08:10","02/11/24 08:57","6608","S 02/11/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","02/11/24 08:25","02/11/24 08:36","36","S 02/12/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","2","02/11/24 09:32","02/11/24 10:52","22889","S 02/11/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","3","02/11/24 09:35","02/11/24 10:52","16155","S 02/11/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","2","02/11/24 09:36","02/11/24 10:54","25587","S 02/11/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","02/11/24 09:37","02/11/24 09:47","27","S 02/12/24","NS",
"02301-9997","DBCS","8","893000","893FIM00","2","1","02/11/24 09:50","02/11/24 13:12","34651","S 02/11/24","NS",
"02301-9997","DBCS","3","893000","893FIM00","2","1","02/11/24 09:55","02/11/24 12:39","19884","S 02/11/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","02/11/24 10:21","02/11/24 10:24","4","S 02/12/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","3","02/11/24 11:10","02/11/24 12:55","36116","S 02/11/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","3","02/11/24 11:10","02/11/24 11:31","3844","S 02/11/24","NS",
"02301-9997","DBCS","5","893000","893FIM00","2","3","02/11/24 11:11","02/11/24 12:46","17591","S 02/11/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","4","02/11/24 11:13","02/11/24 11:33","6683","S 02/11/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","4","02/11/24 11:34","02/11/24 12:55","28018","S 02/11/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","5","02/11/24 11:38","02/11/24 12:57","5369","S 02/11/24","NS",
"02301-9997","DBCS","4","918000","LV02061U","2","1","02/11/24 11:40","02/11/24 13:25","26348","S 02/11/24","S",
"02301-9997","DBCS","2","918000","LV02360U","2","3","02/11/24 11:44","02/11/24 13:27","48800","S 02/11/24","NS",
