Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","02/13/25 17:35","02/13/25 17:55","1655","S 02/13/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/13/25 18:05","02/13/25 20:01","22314","S 02/13/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","02/13/25 21:15","02/13/25 23:24","19912","S 02/13/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","02/14/25 17:39","02/14/25 19:20","15299","S 02/14/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/14/25 20:08","02/14/25 23:10","34678","S 02/14/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/18/25 18:22","02/19/25 00:23","78693","S 02/19/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","02/19/25 17:33","02/19/25 20:02","33274","S 02/19/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","02/19/25 20:37","02/19/25 22:42","28151","S 02/19/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","02/13/25 17:11","02/13/25 19:21","16408","S 02/13/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/13/25 20:02","02/13/25 21:50","19467","S 02/13/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","02/13/25 22:07","02/13/25 23:11","9476","S 02/13/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","02/14/25 17:39","02/14/25 20:03","20562","S 02/14/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/14/25 20:36","02/14/25 22:58","20489","S 02/14/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","02/18/25 17:24","02/18/25 19:26","6551","S 02/18/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/18/25 20:03","02/18/25 21:58","22486","S 02/18/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","7","02/18/25 22:00","02/19/25 00:20","23532","S 02/19/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","02/19/25 18:02","02/19/25 19:19","10001","S 02/19/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","02/19/25 20:04","02/19/25 22:42","24093","S 02/19/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","02/13/25 14:24","02/13/25 16:27","15551","S 02/13/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","02/13/25 17:14","02/13/25 18:26","7934","S 02/13/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","2","02/13/25 18:33","02/13/25 19:23","7989","S 02/13/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","3","02/13/25 20:02","02/13/25 21:25","8391","S 02/13/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","1","1","02/13/25 23:11","02/13/25 23:23","689","S 02/13/25","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","2","02/13/25 23:33","02/13/25 23:46","746","S 02/13/25","NS",
