Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","07/01/24 19:17","07/01/24 19:29","1854","S 07/01/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","07/01/24 19:30","07/01/24 19:38","536","S 07/01/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","07/01/24 19:45","07/01/24 20:14","1976","S 07/01/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","1","07/01/24 20:27","07/01/24 21:48","26772","S 07/01/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","2","07/01/24 21:50","07/01/24 23:00","20224","S 07/01/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","3","07/01/24 23:02","07/02/24 00:07","21840","S 07/02/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","07/02/24 19:16","07/02/24 23:29","59954","S 07/02/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","07/01/24 19:16","07/01/24 22:06","25927","S 07/01/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","07/01/24 22:12","07/01/24 22:38","4862","S 07/01/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","1","07/01/24 22:50","07/02/24 00:15","17133","S 07/02/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","07/02/24 19:15","07/02/24 23:24","49852","S 07/02/24","NS",
"02301-9997","APBS","2","439000","439PA023","1","6","06/30/24 22:06","06/30/24 23:57","7130","S 06/30/24","NS",
"02301-9997","APBS","2","439000","439PA023","1","1","07/01/24 00:35","07/01/24 02:54","8041","S 07/01/24","NS",
"02301-9997","APBS","2","439000","439PA023","1","2","07/01/24 03:35","07/01/24 05:08","5785","S 07/01/24","NS",
"02301-9997","APBS","2","436000","436SA023","3","5","07/01/24 14:30","07/01/24 16:30","5077","S 07/01/24","NS",
"02301-9997","APBS","2","436000","436SA023","3","6","07/01/24 17:11","07/01/24 21:05","2810","S 07/01/24","NS",
"02301-9997","APBS","2","439000","439PA023","3","7","07/01/24 21:06","07/01/24 22:00","3215","S 07/01/24","NS",
"02301-9997","APBS","2","439000","439PA023","1","8","07/01/24 22:12","07/02/24 00:01","5368","S 07/02/24","NS",
"02301-9997","APBS","2","439000","439PA023","1","1","07/02/24 00:36","07/02/24 02:58","9416","S 07/02/24","NS",
