Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","08/15/23 17:30","08/15/23 22:39","51638","S 08/15/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","08/16/23 17:39","08/16/23 18:05","6287","S 08/16/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","08/16/23 19:24","08/16/23 23:16","44863","S 08/16/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","08/17/23 19:09","08/17/23 21:19","8599","S 08/17/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","08/17/23 21:23","08/17/23 23:40","33095","S 08/17/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","08/18/23 19:14","08/18/23 23:24","32134","S 08/18/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","08/21/23 18:05","08/21/23 18:50","10289","S 08/21/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","08/21/23 19:11","08/21/23 19:56","5696","S 08/21/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","11","08/21/23 19:57","08/21/23 21:33","13737","S 08/21/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","12","08/21/23 21:34","08/21/23 21:44","1495","S 08/21/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","14","08/21/23 21:48","08/21/23 23:56","27310","S 08/22/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","08/22/23 17:37","08/22/23 18:45","3111","S 08/22/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","08/22/23 19:01","08/22/23 19:16","1068","S 08/22/23","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","08/22/23 19:17","08/22/23 22:12","30779","S 08/22/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","08/15/23 19:00","08/15/23 21:22","15057","S 08/15/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","08/15/23 21:23","08/15/23 22:45","13466","S 08/15/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","22","08/16/23 19:24","08/16/23 21:18","13299","S 08/16/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","24","08/16/23 21:33","08/16/23 22:25","11398","S 08/16/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","25","08/16/23 22:26","08/16/23 23:16","6917","S 08/16/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","08/17/23 19:10","08/17/23 20:21","3246","S 08/17/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","08/17/23 20:23","08/17/23 22:06","13554","S 08/17/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","08/17/23 22:09","08/17/23 23:40","24873","S 08/17/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","11","08/18/23 19:15","08/18/23 21:17","13881","S 08/18/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","12","08/18/23 21:18","08/18/23 23:19","20856","S 08/18/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","13","08/21/23 19:11","08/21/23 19:44","598","S 08/21/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","14","08/21/23 19:45","08/21/23 23:56","42290","S 08/22/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","08/22/23 19:07","08/22/23 20:35","19257","S 08/22/23","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","08/22/23 20:36","08/22/23 22:07","25151","S 08/22/23","NS",
"02301-9997","AFSM100","4","463000","463F0M30","2","2","08/15/23 12:31","08/15/23 13:34","7250","S 08/15/23","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","4","08/15/23 14:23","08/15/23 16:23","11683","S 08/15/23","NS",
"02301-9997","AFSM100","4","466000","466F7347","3","1","08/15/23 16:40","08/15/23 17:40","2225","S 08/15/23","S",
"02301-9997","AFSM100","4","466000","466F7368","3","2","08/15/23 18:01","08/15/23 18:27","3303","S 08/15/23","S",
"02301-9997","AFSM100","4","466000","466F7072","3","3","08/15/23 18:43","08/15/23 18:55","1318","S 08/15/23","S",
"02301-9997","AFSM100","4","466000","466F7072","3","4","08/15/23 19:14","08/15/23 19:33","1275","S 08/15/23","S",
"02301-9997","AFSM100","4","461000","461F0OGP","3","5","08/15/23 19:43","08/15/23 22:28","18695","S 08/15/23","NS",
"02301-9997","AFSM100","4","462000","462F0OVR","3","6","08/15/23 22:40","08/15/23 22:54","2638","S 08/15/23","NS",
"02301-9997","AFSM100","4","466000","466F7359","1","1","08/15/23 23:29","08/16/23 00:07","3675","S 08/16/23","S",
"02301-9997","AFSM100","4","466000","466F7343","1","2","08/16/23 00:24","08/16/23 00:32","433","S 08/16/23","S",
"02301-9997","AFSM100","4","466000","466F7343","1","3","08/16/23 01:21","08/16/23 01:39","1045","S 08/16/23","S",
"02301-9997","AFSM100","4","466000","466F7379","1","4","08/16/23 02:13","08/16/23 02:28","2410","S 08/16/23","S",
"02301-9997","AFSM100","4","466000","466F7025","1","5","08/16/23 02:38","08/16/23 02:51","2429","S 08/16/23","S",
"02301-9997","AFSM100","4","466000","466F7043","1","6","08/16/23 03:16","08/16/23 03:34","1612","S 08/16/23","S",
"02301-9997","AFSM100","4","466000","466F7361","1","7","08/16/23 03:46","08/16/23 03:55","1321","S 08/16/23","S",
"02301-9997","AFSM100","4","466000","466F7BRK","1","8","08/16/23 04:20","08/16/23 04:35","2024","S 08/16/23","S",
"02301-9997","AFSM100","4","463000","463F0M30","2","4","08/16/23 11:57","08/16/23 14:06","9102","S 08/16/23","NS",
"02301-9997","AFSM100","4","463000","463F0M30","2","5","08/16/23 14:13","08/16/23 15:17","3564","S 08/16/23","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","1","08/16/23 16:09","08/16/23 16:28","2424","S 08/16/23","NS",
"02301-9997","AFSM100","4","466000","466F7347","3","2","08/16/23 16:37","08/16/23 17:34","3778","S 08/16/23","S",
"02301-9997","AFSM100","4","466000","466F7368","3","3","08/16/23 17:35","08/16/23 18:09","4496","S 08/16/23","S",
"02301-9997","AFSM100","4","466000","466F7072","3","4","08/16/23 18:18","08/16/23 18:42","4118","S 08/16/23","S",
"02301-9997","AFSM100","4","461000","461F0OGP","3","5","08/16/23 19:32","08/16/23 21:55","18766","S 08/16/23","NS",
"02301-9997","AFSM100","4","461000","461F0OGP","3","6","08/16/23 22:05","08/16/23 22:37","2082","S 08/16/23","NS",
"02301-9997","AFSM100","4","462000","462F0OVR","3","7","08/16/23 22:47","08/16/23 23:09","2603","S 08/16/23","NS",
"02301-9997","AFSM100","4","466000","466F7359","1","1","08/16/23 23:35","08/17/23 00:33","3039","S 08/17/23","S",
"02301-9997","AFSM100","4","466000","466F7379","1","2","08/17/23 00:35","08/17/23 00:47","1299","S 08/17/23","S",
"02301-9997","AFSM100","4","466000","466F7379","1","3","08/17/23 01:42","08/17/23 01:56","1670","S 08/17/23","S",
"02301-9997","AFSM100","4","466000","466F7025","1","4","08/17/23 02:14","08/17/23 02:28","1874","S 08/17/23","S",
"02301-9997","AFSM100","4","466000","466F7043","1","5","08/17/23 02:34","08/17/23 02:58","2303","S 08/17/23","S",
"02301-9997","AFSM100","4","466000","466F7343","1","6","08/17/23 03:31","08/17/23 03:46","1633","S 08/17/23","S",
"02301-9997","AFSM100","4","466000","466F7361","1","7","08/17/23 04:39","08/17/23 04:51","1558","S 08/17/23","S",
"02301-9997","AFSM100","4","466000","466F7BRK","1","8","08/17/23 04:54","08/17/23 05:09","1418","S 08/17/23","S",
"02301-9997","AFSM100","4","463000","463F0M30","2","4","08/17/23 13:10","08/17/23 13:38","608","S 08/17/23","NS",
"02301-9997","AFSM100","4","463000","463F0M30","2","5","08/17/23 13:41","08/17/23 15:02","12688","S 08/17/23","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","1","08/17/23 15:22","08/17/23 15:42","4322","S 08/17/23","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","2","08/17/23 15:43","08/17/23 16:13","4449","S 08/17/23","NS",
