Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","07/19/24 17:45","07/19/24 22:11","59698","S 07/19/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","07/22/24 19:13","07/22/24 19:26","122","S 07/22/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","07/22/24 19:27","07/22/24 19:41","123","S 07/22/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","07/22/24 19:49","07/22/24 19:56","965","S 07/22/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","07/22/24 19:56","07/22/24 20:05","1078","S 07/22/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","1","07/22/24 20:21","07/22/24 21:59","24292","S 07/22/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","2","07/22/24 22:00","07/22/24 23:40","30427","S 07/22/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","07/23/24 19:15","07/23/24 22:21","54736","S 07/23/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","07/24/24 18:11","07/24/24 21:42","45977","S 07/24/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","6","07/24/24 23:04","07/24/24 23:05","593","S 07/24/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","07/25/24 19:17","07/25/24 22:56","48044","S 07/25/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","07/19/24 19:21","07/19/24 22:10","27511","S 07/19/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","07/22/24 19:13","07/22/24 22:47","35358","S 07/22/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","6","07/22/24 22:48","07/22/24 23:47","11809","S 07/22/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","07/23/24 19:14","07/23/24 22:47","34634","S 07/23/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","07/24/24 19:21","07/24/24 23:28","38330","S 07/24/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","07/25/24 19:15","07/25/24 22:53","30627","S 07/25/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","1","07/19/24 15:05","07/19/24 19:18","18018","S 07/19/24","NS",
"02301-9997","AFSM100","4","466000","466F7025","3","2","07/19/24 19:45","07/19/24 20:56","5352","S 07/19/24","S",
"02301-9997","AFSM100","4","461000","461F0OGP","3","3","07/19/24 21:07","07/20/24 00:43","24992","S 07/20/24","NS",
"02301-9997","AFSM100","4","462000","462F0OVR","1","1","07/20/24 00:50","07/20/24 01:16","3800","S 07/20/24","NS",
"02301-9997","AFSM100","4","466000","466F7343","1","2","07/20/24 01:26","07/20/24 01:53","3303","S 07/20/24","S",
"02301-9997","AFSM100","4","466000","466F7072","1","3","07/20/24 02:06","07/20/24 02:40","3199","S 07/20/24","S",
"02301-9997","AFSM100","4","466000","466F7359","1","4","07/20/24 02:46","07/20/24 03:33","4411","S 07/20/24","S",
"02301-9997","AFSM100","4","466000","466F7361","1","5","07/20/24 03:40","07/20/24 04:38","5117","S 07/20/24","S",
"02301-9997","AFSM100","4","466000","466F7043","1","6","07/20/24 04:55","07/20/24 05:11","2462","S 07/20/24","S",
"02301-9997","AFSM100","4","466000","466F7BRK","1","7","07/20/24 05:15","07/20/24 05:44","3167","S 07/20/24","S",
"02301-9997","AFSM100","4","466000","466F7368","1","8","07/20/24 05:48","07/20/24 06:24","3873","S 07/20/24","S",
