Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","04/30/25 17:38","04/30/25 18:41","7060","S 04/30/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","04/30/25 18:47","04/30/25 19:22","6270","S 04/30/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","04/30/25 19:29","04/30/25 21:14","10248","S 04/30/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","04/30/25 21:16","04/30/25 22:00","13074","S 04/30/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","11","04/30/25 22:11","04/30/25 22:38","4149","S 04/30/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","12","04/30/25 22:43","04/30/25 22:55","1832","S 04/30/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","05/01/25 17:44","05/01/25 18:44","3958","S 05/01/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","05/01/25 19:19","05/01/25 19:20","77","S 05/01/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","05/01/25 20:10","05/01/25 22:01","19068","S 05/01/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","11","05/01/25 22:02","05/02/25 00:25","27953","S 05/02/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","05/02/25 18:02","05/02/25 19:58","25478","S 05/02/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","05/02/25 20:33","05/02/25 20:45","901","S 05/02/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","05/02/25 20:48","05/02/25 20:53","384","S 05/02/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","05/02/25 20:54","05/02/25 21:54","16087","S 05/02/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","11","05/02/25 22:00","05/02/25 22:55","11018","S 05/02/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","05/05/25 20:52","05/05/25 21:08","556","S 05/05/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","05/05/25 21:09","05/05/25 22:37","2282","S 05/05/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","8","05/05/25 22:38","05/06/25 01:00","16068","S 05/06/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","05/06/25 18:56","05/06/25 20:02","15874","S 05/06/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","11","05/06/25 20:38","05/06/25 23:57","35221","S 05/07/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","2","05/07/25 17:33","05/07/25 18:29","13840","S 05/07/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","3","05/07/25 18:30","05/07/25 19:26","11889","S 05/07/25","NS",
