Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","LCTS","2","619000","619Z023T","2","1","03/31/24 07:00","03/31/24 15:00","1096","S 03/31/24","NS",
"02301-9997","ATU","1","207000","ATU","2","2","03/31/24 07:00","03/31/24 15:00","802","S 03/31/24","NS",
"02301-9997","ATU","2","207000","ATU","2","3","03/31/24 07:00","03/31/24 15:00","753","S 03/31/24","NS",
"02301-9997","LCTS","1","619000","619Z0231","2","1","03/31/24 07:00","03/31/24 15:00","952","S 03/31/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","03/31/24 07:04","03/31/24 07:50","37","S 03/31/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","1","03/31/24 07:06","03/31/24 08:53","28319","S 03/31/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","1","03/31/24 07:20","03/31/24 08:53","32414","S 03/31/24","NS",
"02301-9997","LCREM","1","490000","490F0023","2","1","03/31/24 08:20","03/31/24 08:31","473","S 03/31/24","NS",
"02301-9997","LCREM","1","487000","487F0023","2","2","03/31/24 08:40","03/31/24 08:44","391","S 03/31/24","NS",
"02301-9997","DBCS","4","918000","LV02061U","2","1","03/31/24 09:11","03/31/24 09:39","5516","S 03/31/24","NS",
"02301-9997","DBCS","3","918000","LV02330U","2","1","03/31/24 09:17","03/31/24 09:43","6915","S 03/31/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","2","03/31/24 09:33","03/31/24 10:48","19416","S 03/31/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","2","03/31/24 09:33","03/31/24 10:52","22532","S 03/31/24","NS",
"02301-9997","LCREM","1","490000","490F0023","2","3","03/31/24 09:37","03/31/24 10:00","4374","S 03/31/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","03/31/24 10:06","03/31/24 10:06","1","S 04/01/24","NS",
"02301-9997","LCREM","1","490000","490F0023","2","4","03/31/24 10:16","03/31/24 10:20","543","S 03/31/24","NS",
"02301-9997","LCREM","1","487000","487F0023","2","5","03/31/24 10:20","03/31/24 10:25","336","S 03/31/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","03/31/24 10:27","03/31/24 11:01","57","S 04/01/24","NS",
"02301-9997","DBCS","2","918000","LV02360U","2","3","03/31/24 11:23","03/31/24 12:39","31598","S 03/31/24","NS",
"02301-9997","AFSM100","4","466000","466F7361","2","3","03/31/24 11:24","03/31/24 12:14","5677","S 03/31/24","S",
"02301-9997","DIOSS","6","483000","483FIM00","2","3","03/31/24 11:35","03/31/24 13:37","29782","S 03/31/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","3","03/31/24 11:51","03/31/24 15:09","39002","S 03/31/24","NS",
"02301-9997","DBCS","3","918000","LV02330U","2","2","03/31/24 12:03","03/31/24 12:34","11749","S 03/31/24","NS",
"02301-9997","DBCS","1","918000","LV02090U","2","3","03/31/24 12:10","03/31/24 12:36","10501","S 03/31/24","S",
"02301-9997","DBCS","4","918000","LV02061U","2","2","03/31/24 12:10","03/31/24 12:31","10382","S 03/31/24","NS",
