Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","LCREM","1","490000","490F0023","2","1","01/14/24 06:28","01/14/24 07:32","2207","S 01/14/24","NS",
"02301-9997","LCTS","2","619000","619Z023T","2","1","01/14/24 07:00","01/14/24 15:00","1769","S 01/14/24","NS",
"02301-9997","LCTS","1","619000","619Z0231","2","1","01/14/24 07:00","01/14/24 15:00","301","S 01/14/24","NS",
"02301-9997","ATU","2","207000","ATU","2","2","01/14/24 07:00","01/14/24 15:00","1006","S 01/14/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","1","01/14/24 07:04","01/14/24 08:53","25326","S 01/14/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","1","01/14/24 07:06","01/14/24 08:53","24578","S 01/14/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","01/14/24 07:44","01/14/24 07:48","19","S 01/14/24","NS",
"02301-9997","DIOSS","11","483000","483FIM00","2","1","01/14/24 08:06","01/14/24 11:09","31577","S 01/14/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","01/14/24 08:11","01/14/24 08:11","1","S 01/15/24","NS",
"02301-9997","LCREM","1","487000","487F0023","2","2","01/14/24 08:15","01/14/24 08:30","594","S 01/14/24","NS",
"02301-9997","MSA","1","308000","MSA-RUN-308","2","1","01/14/24 09:17","01/14/24 09:23","25","S 01/15/24","NS",
"02301-9997","PSS","4","325000","PSS-RUN-325","2","1","01/14/24 09:23","01/14/24 09:28","26","S 01/15/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","2","01/14/24 09:33","01/14/24 10:52","24042","S 01/14/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","01/14/24 09:33","01/14/24 09:35","4","S 01/15/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","2","01/14/24 09:35","01/14/24 10:52","11277","S 01/14/24","NS",
"02301-9997","PSS","4","325000","PSS-RUN-325","2","1","01/14/24 10:03","01/14/24 10:16","31","S 01/15/24","NS",
"02301-9997","DBCS","5","918000","LV02021U","2","1","01/14/24 11:15","01/14/24 13:21","43213","S 01/14/24","S",
"02301-9997","DBCS","1","918000","LV02090U","2","1","01/14/24 11:18","01/14/24 12:59","37664","S 01/14/24","S",
"02301-9997","AFSM100","4","463000","463F0M30","2","5","01/14/24 11:19","01/14/24 15:07","14299","S 01/14/24","NS",
"02301-9997","DBCS","8","918000","LV02018U","2","1","01/14/24 11:21","01/14/24 13:21","42637","S 01/14/24","S",
