Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","2","6","12/12/24 10:38","12/12/24 10:44","67","S 12/12/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","12/12/24 15:51","12/12/24 16:02","54","S 12/12/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","12/12/24 16:03","12/12/24 16:13","61","S 12/12/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","12","12/12/24 16:47","12/13/24 03:46","197920","S 12/13/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","12/13/24 17:09","12/13/24 17:42","4849","S 12/13/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","12/13/24 17:47","12/13/24 17:52","2102","S 12/13/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","10","12/13/24 18:02","12/14/24 05:11","186814","S 12/14/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","12/14/24 16:07","12/14/24 22:15","78774","S 12/14/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","7","12/14/24 22:19","12/15/24 01:08","29782","S 12/15/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","8","12/15/24 01:09","12/15/24 01:25","164","S 12/15/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","12/16/24 15:21","12/16/24 16:18","10604","S 12/16/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","12/16/24 17:18","12/17/24 03:04","180287","S 12/17/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","2","13","12/17/24 11:33","12/17/24 11:36","8","S 12/17/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","2","14","12/17/24 13:11","12/17/24 14:30","25573","S 12/17/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","15","12/17/24 15:19","12/17/24 16:20","20502","S 12/17/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","16","12/17/24 17:22","12/18/24 04:53","214332","S 12/18/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","2","7","12/18/24 12:51","12/18/24 12:55","1032","S 12/18/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","2","8","12/18/24 13:10","12/18/24 14:24","26171","S 12/18/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","9","12/18/24 15:05","12/18/24 16:25","9012","S 12/18/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","10","12/18/24 17:08","12/19/24 04:46","204028","S 12/19/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","2","6","12/12/24 10:39","12/12/24 10:44","251","S 12/12/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","12/12/24 15:42","12/12/24 16:27","6929","S 12/12/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","12/12/24 17:00","12/12/24 18:54","21860","S 12/12/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","10","12/12/24 19:21","12/13/24 03:51","114132","S 12/13/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","12/13/24 17:09","12/13/24 22:40","59282","S 12/13/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","8","12/13/24 22:46","12/14/24 05:13","68340","S 12/14/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","7","12/14/24 17:09","12/15/24 00:56","114556","S 12/16/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","12/16/24 15:22","12/16/24 16:25","5665","S 12/16/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","12/16/24 17:17","12/17/24 03:03","158480","S 12/17/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","2","5","12/17/24 13:11","12/17/24 14:39","24088","S 12/17/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","12/17/24 15:18","12/17/24 16:22","20655","S 12/17/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","12/17/24 17:06","12/18/24 04:52","198578","S 12/18/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","2","5","12/18/24 12:57","12/18/24 14:26","23607","S 12/18/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","12/18/24 15:04","12/18/24 16:25","13838","S 12/18/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","12/18/24 17:08","12/19/24 04:45","192779","S 12/19/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","2","4","12/12/24 11:46","12/12/24 13:27","16436","S 12/12/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","5","12/12/24 14:03","12/12/24 16:11","11736","S 12/12/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","3","1","12/12/24 17:05","12/12/24 17:49","3148","S 12/12/24","S",
"02301-9997","AFSM100","1","461000","461F0OGP","3","2","12/12/24 18:07","12/12/24 18:55","3396","S 12/12/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","3","12/12/24 19:17","12/12/24 21:47","19103","S 12/12/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","3","4","12/12/24 21:55","12/12/24 22:21","2617","S 12/12/24","NS",
"02301-9997","AFSM100","1","466000","466F7343","1","5","12/12/24 22:48","12/12/24 23:28","4611","S 12/12/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","1","12/12/24 23:40","12/13/24 00:17","5546","S 12/13/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","2","12/13/24 00:22","12/13/24 00:42","1356","S 12/13/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","3","12/13/24 01:10","12/13/24 01:58","6043","S 12/13/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","4","12/13/24 02:15","12/13/24 03:03","6059","S 12/13/24","S",
"02301-9997","AFSM100","1","466000","466F7359","1","5","12/13/24 03:12","12/13/24 03:57","7124","S 12/13/24","S",
"02301-9997","AFSM100","1","466000","466F7361","1","6","12/13/24 04:10","12/13/24 04:45","5515","S 12/13/24","S",
"02301-9997","AFSM100","1","466000","466F7043","1","7","12/13/24 05:37","12/13/24 06:24","6786","S 12/13/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","2","3","12/13/24 12:02","12/13/24 13:29","11416","S 12/13/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","4","12/13/24 14:19","12/13/24 16:22","9737","S 12/13/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","12/13/24 17:26","12/13/24 18:07","2486","S 12/13/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","3","2","12/13/24 18:07","12/13/24 18:28","2620","S 12/13/24","S",
"02301-9997","AFSM100","1","466000","466F7343","3","3","12/13/24 19:22","12/13/24 19:39","1911","S 12/13/24","S",
"02301-9997","AFSM100","1","461000","461F0OGP","3","4","12/13/24 19:47","12/13/24 21:36","12558","S 12/13/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","5","12/13/24 22:33","12/13/24 23:19","2662","S 12/13/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","1","12/13/24 23:31","12/13/24 23:55","1768","S 12/14/24","NS",
"02301-9997","AFSM100","1","466000","466F7BRK","1","2","12/14/24 00:02","12/14/24 00:26","2492","S 12/14/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","3","12/14/24 01:05","12/14/24 01:50","4407","S 12/14/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","4","12/14/24 02:14","12/14/24 02:41","3023","S 12/14/24","S",
"02301-9997","AFSM100","1","466000","466F7359","1","5","12/14/24 02:50","12/14/24 04:29","3127","S 12/14/24","S",
"02301-9997","AFSM100","1","466000","466F7361","1","6","12/14/24 04:39","12/14/24 05:13","3171","S 12/14/24","S",
"02301-9997","AFSM100","1","466000","466F7043","1","7","12/14/24 05:16","12/14/24 05:37","3399","S 12/14/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","12/14/24 15:02","12/14/24 16:19","11219","S 12/14/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","2","12/14/24 18:00","12/14/24 18:59","6483","S 12/14/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","12/14/24 19:16","12/14/24 19:51","2696","S 12/14/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","4","12/14/24 19:54","12/14/24 21:41","10575","S 12/14/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","5","12/14/24 22:19","12/14/24 22:50","760","S 12/14/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","6","12/14/24 22:57","12/14/24 23:09","255","S 12/14/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","1","12/14/24 23:22","12/15/24 03:31","4039","S 12/15/24","S",
"02301-9997","AFSM100","1","466000","466F7343","1","2","12/15/24 03:40","12/15/24 04:39","3813","S 12/15/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","3","12/15/24 05:34","12/15/24 06:22","2976","S 12/15/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","4","12/15/24 06:27","12/15/24 06:54","3425","S 12/15/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","12/15/24 14:33","12/15/24 16:32","11540","S 12/15/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","12/15/24 17:09","12/15/24 21:35","20001","S 12/15/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","3","2","12/15/24 21:47","12/15/24 23:56","6928","S 12/16/24","S",
"02301-9997","AFSM100","1","466000","466F7343","1","1","12/16/24 00:05","12/16/24 01:18","4778","S 12/16/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","3","12/16/24 02:38","12/16/24 03:18","5064","S 12/16/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","4","12/16/24 03:24","12/16/24 04:05","6975","S 12/16/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","5","12/16/24 04:18","12/16/24 05:20","3302","S 12/16/24","S",
"02301-9997","AFSM100","1","466000","466F7359","1","6","12/16/24 05:30","12/16/24 06:00","3715","S 12/16/24","S",
"02301-9997","AFSM100","1","466000","466F7361","1","7","12/16/24 06:02","12/16/24 06:28","2225","S 12/16/24","S",
"02301-9997","AFSM100","1","466000","466F7043","2","5","12/16/24 13:09","12/16/24 15:17","10444","S 12/16/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","12/16/24 15:44","12/16/24 18:08","8732","S 12/16/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","3","2","12/16/24 18:08","12/16/24 18:28","1091","S 12/16/24","S",
"02301-9997","AFSM100","1","461000","461F0OGP","3","3","12/16/24 19:05","12/16/24 22:42","19587","S 12/16/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","1","1","12/16/24 23:03","12/16/24 23:48","4831","S 12/17/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","2","12/16/24 23:59","12/17/24 00:20","3070","S 12/17/24","NS",
"02301-9997","AFSM100","1","466000","466F7343","1","3","12/17/24 00:31","12/17/24 00:58","2383","S 12/17/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","4","12/17/24 01:03","12/17/24 01:31","1960","S 12/17/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","6","12/17/24 01:43","12/17/24 03:13","6801","S 12/17/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","7","12/17/24 03:15","12/17/24 04:30","8969","S 12/17/24","S",
"02301-9997","AFSM100","1","466000","466F7359","1","8","12/17/24 05:08","12/17/24 05:38","3756","S 12/17/24","S",
"02301-9997","AFSM100","1","466000","466F7361","1","9","12/17/24 05:43","12/17/24 06:25","4664","S 12/17/24","S",
"02301-9997","AFSM100","1","466000","466F7361","2","3","12/17/24 12:47","12/17/24 12:55","756","S 12/17/24","S",
"02301-9997","AFSM100","1","466000","466F7361","2","4","12/17/24 13:31","12/17/24 14:39","3977","S 12/17/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","5","12/17/24 14:45","12/17/24 15:59","6552","S 12/17/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","12/17/24 17:02","12/17/24 19:31","10865","S 12/17/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","2","12/17/24 19:39","12/17/24 22:58","17410","S 12/17/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","1","12/17/24 23:07","12/17/24 23:30","2557","S 12/17/24","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","2","12/17/24 23:39","12/18/24 00:24","3632","S 12/18/24","S",
"02301-9997","AFSM100","1","466000","466F7343","1","3","12/18/24 00:31","12/18/24 01:01","2843","S 12/18/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","4","12/18/24 01:46","12/18/24 02:08","2163","S 12/18/24","S",
"02301-9997","AFSM100","1","466000","466F7359","1","5","12/18/24 02:26","12/18/24 03:45","9591","S 12/18/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","6","12/18/24 03:50","12/18/24 04:10","2556","S 12/18/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","7","12/18/24 04:19","12/18/24 04:39","3955","S 12/18/24","S",
"02301-9997","AFSM100","1","466000","466F7043","1","8","12/18/24 04:46","12/18/24 05:37","7422","S 12/18/24","S",
"02301-9997","AFSM100","1","463000","463F0M30","2","3","12/18/24 12:52","12/18/24 13:30","4073","S 12/18/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","4","12/18/24 14:07","12/18/24 15:53","12487","S 12/18/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","12/18/24 16:01","12/18/24 16:27","3629","S 12/18/24","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","2","12/18/24 18:21","12/18/24 18:51","1163","S 12/18/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","3","12/18/24 18:52","12/18/24 20:59","11740","S 12/18/24","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","4","12/18/24 21:02","12/18/24 22:48","12763","S 12/18/24","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","5","12/18/24 22:50","12/18/24 23:51","4","NS","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","1","12/18/24 23:55","12/19/24 00:26","2553","S 12/19/24","S",
"02301-9997","AFSM100","1","466000","466F7343","1","2","12/19/24 00:35","12/19/24 00:53","2163","S 12/19/24","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","3","12/19/24 01:52","12/19/24 02:11","2421","S 12/19/24","S",
"02301-9997","AFSM100","1","466000","466F7368","1","4","12/19/24 02:25","12/19/24 02:47","3357","S 12/19/24","S",
"02301-9997","AFSM100","1","466000","466F7072","1","5","12/19/24 03:22","12/19/24 03:46","3690","S 12/19/24","S",
"02301-9997","AFSM100","1","466000","466F7359","1","6","12/19/24 03:55","12/19/24 04:24","3687","S 12/19/24","S",
"02301-9997","AFSM100","1","466000","466F7361","1","7","12/19/24 05:14","12/19/24 05:55","5515","S 12/19/24","S",
"02301-9997","AFSM100","1","466000","466F7043","1","8","12/19/24 06:03","12/19/24 06:34","4782","S 12/19/24","S",
"02301-9997","APBS","2","439000","439PA023","2","7","12/12/24 11:14","12/12/24 13:15","7837","S 12/12/24","NS",
"02301-9997","APBS","2","439000","439PA023","2","8","12/12/24 13:15","12/12/24 13:27","567","S 12/12/24","NS",
"02301-9997","APBS","2","439000","439PA023","3","9","12/12/24 13:58","12/12/24 16:30","12296","S 12/12/24","NS",
"02301-9997","APBS","2","439000","439PA023","3","10","12/12/24 17:01","12/12/24 21:59","29156","S 12/12/24","NS",
"02301-9997","APBS","2","439000","439PA023","1","11","12/12/24 22:13","12/13/24 05:45","35574","S 12/13/24","NS",
"02301-9997","APBS","2","439000","439PA023","2","2","12/13/24 11:09","12/13/24 13:25","7645","S 12/13/24","NS",
"02301-9997","APBS","2","439000","439PA023","3","3","12/13/24 14:05","12/13/24 16:30","8556","S 12/13/24","NS",
"02301-9997","APBS","2","439000","439PA023","3","4","12/13/24 17:01","12/13/24 21:58","26667","S 12/13/24","NS",
"02301-9997","APBS","2","439000","439PA023","1","5","12/13/24 22:12","12/14/24 05:46","33723","S 12/14/24","NS",
"02301-9997","APBS","2","436000","436SA023","2","2","12/14/24 11:15","12/14/24 13:06","5706","S 12/14/24","NS",
"02301-9997","APBS","2","439000","439PA023","2","3","12/14/24 13:07","12/14/24 16:27","16185","S 12/14/24","NS",
