Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","01/23/25 17:59","01/23/25 21:11","35472","S 01/23/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","01/23/25 21:13","01/23/25 21:57","10286","S 01/23/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","01/24/25 17:35","01/24/25 22:29","53421","S 01/24/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","01/27/25 17:39","01/27/25 23:45","72498","S 01/28/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","01/28/25 17:40","01/28/25 20:05","25420","S 01/28/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","01/28/25 20:36","01/28/25 23:18","30028","S 01/28/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","12","01/29/25 17:37","01/29/25 19:24","16230","S 01/29/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","13","01/29/25 20:02","01/29/25 23:36","33978","S 01/29/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","01/23/25 17:36","01/23/25 22:37","62246","S 01/23/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","01/24/25 17:37","01/24/25 19:28","20737","S 01/24/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","01/24/25 19:33","01/24/25 20:02","6007","S 01/24/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","01/24/25 20:39","01/24/25 22:31","21196","S 01/24/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","01/27/25 17:37","01/27/25 20:43","22552","S 01/28/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","7","01/27/25 20:44","01/27/25 23:25","30783","S 01/28/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","01/28/25 17:39","01/28/25 19:30","19986","S 01/28/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","01/28/25 20:05","01/28/25 23:24","35470","S 01/28/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","01/29/25 17:37","01/29/25 20:01","23279","S 01/29/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","01/29/25 20:40","01/29/25 23:16","31337","S 01/29/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","6","01/23/25 14:23","01/23/25 17:00","25288","S 01/23/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","2","01/23/25 17:16","01/23/25 18:13","1913","S 01/23/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","3","01/23/25 18:21","01/23/25 20:09","12122","S 01/23/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","4","01/23/25 20:13","01/23/25 21:42","7323","S 01/23/25","NS",
