Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","05/06/24 19:23","05/06/24 23:48","72579","S 05/06/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","05/07/24 19:14","05/07/24 23:07","56071","S 05/07/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","05/08/24 19:13","05/08/24 23:10","46680","S 05/08/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","6","05/08/24 23:12","05/08/24 23:19","59","S 05/08/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","5","05/09/24 19:26","05/09/24 22:44","59122","S 05/09/24","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","5","05/10/24 19:16","05/10/24 22:31","50531","S 05/24/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","05/06/24 19:16","05/06/24 19:33","64","S 05/06/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","05/06/24 19:42","05/06/24 23:45","56370","S 05/06/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","05/07/24 19:15","05/07/24 23:09","44814","S 05/07/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","6","05/08/24 19:10","05/08/24 23:20","47071","S 05/09/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","05/09/24 19:12","05/09/24 22:29","41089","S 05/09/24","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","05/10/24 19:16","05/10/24 22:37","45325","S 05/10/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","2","4","05/05/24 14:23","05/05/24 15:08","5989","S 05/05/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","1","05/05/24 15:31","05/05/24 16:12","8275","S 05/05/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","3","05/05/24 18:12","05/05/24 18:35","2763","S 05/05/24","NS",
"02301-9997","AFSM100","4","466000","466F7025","3","4","05/05/24 18:42","05/05/24 18:55","1787","S 05/06/24","S",
"02301-9997","AFSM100","4","466000","466F7343","1","1","05/05/24 23:47","05/06/24 00:13","2065","S 05/06/24","S",
"02301-9997","AFSM100","4","466000","466F7359","1","2","05/06/24 00:21","05/06/24 00:58","6836","S 05/06/24","S",
"02301-9997","AFSM100","4","466000","466F7368","1","3","05/06/24 01:54","05/06/24 02:43","6953","S 05/06/24","S",
"02301-9997","AFSM100","4","466000","466F7043","1","4","05/06/24 02:55","05/06/24 03:41","7074","S 05/06/24","S",
"02301-9997","AFSM100","4","466000","466F7072","1","5","05/06/24 03:53","05/06/24 04:28","5758","S 05/06/24","S",
"02301-9997","AFSM100","4","466000","466F7BRK","1","6","05/06/24 05:08","05/06/24 05:18","1217","S 05/06/24","S",
"02301-9997","AFSM100","4","466000","466F7361","1","7","05/06/24 05:24","05/06/24 05:39","1766","S 05/06/24","S",
"02301-9997","AFSM100","4","463000","463F0M30","2","3","05/06/24 13:37","05/06/24 14:22","4658","S 05/06/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","1","05/06/24 17:09","05/06/24 18:00","8767","S 05/06/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","2","05/06/24 19:08","05/06/24 19:46","1756","S 05/06/24","NS",
"02301-9997","AFSM100","4","461000","461F0OGP","3","3","05/06/24 19:52","05/07/24 01:28","39866","S 05/07/24","NS",
"02301-9997","AFSM100","4","462000","462F0OVR","1","1","05/07/24 01:36","05/07/24 02:06","4082","S 05/07/24","NS",
"02301-9997","AFSM100","4","466000","466F7025","1","2","05/07/24 02:16","05/07/24 03:11","4860","S 05/07/24","S",
"02301-9997","AFSM100","4","466000","466F7343","1","3","05/07/24 03:22","05/07/24 03:22","8","S 05/07/24","S",
"02301-9997","AFSM100","4","466000","466F7343","1","4","05/07/24 03:23","05/07/24 03:41","2400","S 05/07/24","S",
"02301-9997","AFSM100","4","466000","466F7072","1","5","05/07/24 04:14","05/07/24 04:28","2517","S 05/07/24","S",
"02301-9997","AFSM100","4","466000","466F7359","1","6","05/07/24 04:43","05/07/24 04:57","2197","S 05/07/24","S",
"02301-9997","AFSM100","4","466000","466F7361","1","7","05/07/24 05:05","05/07/24 05:19","2787","S 05/07/24","S",
"02301-9997","AFSM100","4","466000","466F7043","1","8","05/07/24 05:26","05/07/24 05:49","3132","S 05/07/24","S",
"02301-9997","AFSM100","4","466000","466F7BRK","1","9","05/07/24 05:59","05/07/24 06:10","1843","S 05/07/24","S",
"02301-9997","AFSM100","4","466000","466F7368","1","10","05/07/24 06:16","05/07/24 06:26","1774","S 05/07/24","S",
"02301-9997","AFSM100","4","463000","463F0M30","2","1","05/07/24 13:45","05/07/24 14:51","7990","S 05/07/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","1","05/07/24 17:33","05/07/24 18:54","11709","S 05/07/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","2","05/07/24 19:15","05/07/24 20:46","8046","S 05/07/24","NS",
"02301-9997","AFSM100","4","466000","466F7025","3","3","05/07/24 20:53","05/07/24 21:21","3643","S 05/07/24","S",
"02301-9997","AFSM100","4","461000","461F0OGP","3","4","05/07/24 21:27","05/08/24 00:11","15255","S 05/08/24","NS",
"02301-9997","AFSM100","4","462000","462F0OVR","1","1","05/08/24 00:27","05/08/24 01:00","1863","S 05/08/24","NS",
"02301-9997","AFSM100","4","466000","466F7343","1","2","05/08/24 01:12","05/08/24 01:44","4173","S 05/08/24","S",
"02301-9997","AFSM100","4","466000","466F7072","1","3","05/08/24 01:52","05/08/24 02:11","1733","S 05/08/24","S",
"02301-9997","AFSM100","4","466000","466F7359","1","4","05/08/24 02:53","05/08/24 03:43","4877","S 05/08/24","S",
"02301-9997","AFSM100","4","466000","466F7361","1","5","05/08/24 03:48","05/08/24 04:27","2974","S 05/08/24","S",
"02301-9997","AFSM100","4","466000","466F7043","1","6","05/08/24 04:34","05/08/24 05:02","3760","S 05/08/24","S",
"02301-9997","AFSM100","4","466000","466F7BRK","1","7","05/08/24 05:11","05/08/24 05:36","2788","S 05/08/24","S",
"02301-9997","AFSM100","4","466000","466F7368","1","8","05/08/24 05:45","05/08/24 06:41","4529","S 05/08/24","S",
"02301-9997","AFSM100","4","463000","463F0M30","2","3","05/08/24 11:34","05/08/24 12:15","2786","S 05/08/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","2","4","05/08/24 13:54","05/08/24 14:40","5517","S 05/08/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","1","05/08/24 15:45","05/08/24 16:50","9009","S 05/08/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","2","05/08/24 17:37","05/08/24 18:52","8852","S 05/08/24","NS",
"02301-9997","AFSM100","4","463000","463F0M30","3","3","05/08/24 19:31","05/08/24 22:01","10106","S 05/08/24","NS",
"02301-9997","AFSM100","4","466000","466F7025","3","4","05/08/24 22:08","05/08/24 22:59","3997","S 05/08/24","S",
"02301-9997","AFSM100","4","461000","461F0OGP","1","1","05/08/24 23:07","05/09/24 00:47","13835","S 05/09/24","NS",
"02301-9997","AFSM100","4","462000","462F0OVR","1","2","05/09/24 00:56","05/09/24 01:25","3471","S 05/09/24","NS",
