Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","ATU","2","207000","ATU","2","3","03/24/24 07:00","03/24/24 15:00","561","S 03/24/24","NS",
"02301-9997","LCTS","2","619000","619Z023T","2","1","03/24/24 07:00","03/24/24 15:00","1786","S 03/24/24","NS",
"02301-9997","LCTS","1","619000","619Z0231","2","1","03/24/24 07:00","03/24/24 15:00","89","S 03/24/24","NS",
"02301-9997","ATU","1","207000","ATU","2","2","03/24/24 07:00","03/24/24 15:00","77","S 03/24/24","NS",
"02301-9997","DIOSS","11","893000","893FIM00","2","1","03/24/24 07:05","03/24/24 07:34","6861","S 03/24/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","1","03/24/24 07:07","03/24/24 08:54","28739","S 03/24/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","03/24/24 07:18","03/24/24 07:29","52","S 03/24/24","NS",
"02301-9997","DIOSS","11","893000","893FIM00","2","2","03/24/24 07:37","03/24/24 08:45","19964","S 03/24/24","NS",
"02301-9997","DIOSS","11","893000","893FIM00","2","3","03/24/24 08:49","03/24/24 08:53","1270","S 03/24/24","NS",
"02301-9997","DIOSS","10","483000","483FIM00","2","1","03/24/24 08:55","03/24/24 10:57","16866","S 03/24/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","2","03/24/24 09:33","03/24/24 10:52","24372","S 03/24/24","NS",
"02301-9997","DIOSS","11","893000","893FIM00","2","4","03/24/24 09:35","03/24/24 10:52","21022","S 03/24/24","NS",
"02301-9997","PSS","1","233000","PSS-RUN-233","2","1","03/24/24 09:47","03/24/24 10:11","16","S 03/25/24","NS",
"02301-9997","DIOSS","6","483000","483FIM00","2","3","03/24/24 11:10","03/24/24 11:27","3322","S 03/24/24","NS",
"02301-9997","DIOSS","11","893000","893FIM00","2","5","03/24/24 11:11","03/24/24 11:33","9225","S 03/24/24","NS",
