Machine ID,Stackers,Operation (days/wk),Tours/Day,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
DIOSS 11,222,7,3,1478.95,686.69,942.57,3108.21,1164.80
DIOSS 6,222,7,3,1321.48,684.91,1101.82,3108.21,1164.80
DIOSS 10,222,7,3,1315.1,683.41,1109.7,3108.21,1164.80
