Machine ID,Operation (days/wk),MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
VFS 2,5,72.98,2.79,0.83,76.6,
VFS 3,5,72.98,2.79,0.83,76.6,
