Inductions,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
2,5,1,450.67,453.14
2,6,1,540.80,543.27
2,7,1,630.93,633.40
2,5,2,901.34,903.81
2,6,2,1081.60,1084.07
2,7,2,1261.86,1264.33
2,5,3,1352.01,1354.48
2,6,3,1622.40,1624.87
2,7,3,1892.79,1895.26
3,5,1,472.33,474.80
3,6,1,566.80,569.27
3,7,1,661.27,663.74
3,5,2,944.66,947.13
3,6,2,1133.60,1136.07
3,7,2,1322.54,1325.01
3,5,3,1416.99,1419.46
3,6,3,1700.40,1702.87
3,7,3,1983.81,1986.28
