Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,41.0,12.3,53.3,5.33,58.63
6,47.93,14.379,62.309,6.2309,68.5399
7,54.86,16.458,71.318,7.1318,78.4498
