Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,43.59,13.08,56.67,5.67,62.34
6,50.52,15.16,65.68,6.57,72.25
7,53.12,15.94,69.06,6.91,75.97
