Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,43.13,12.94,56.07,5.61,61.68
6,50.93,15.28,66.21,6.62,72.83
7,58.73,17.62,76.35,7.64,83.99
