Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,169.0,50.7,219.7,10.99,230.69,347.69,578.38
6,202.8,60.84,263.64,13.18,276.82,417.22,694.04
