Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,356.57,106.97,463.54,46.35,509.89
6,401.63,120.49,522.12,52.21,574.33
7,446.7,134.01,580.71,58.07,638.78
