Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,72.94,21.882,94.822,9.4822,104.3042
6,85.07,25.521,110.591,11.0591,121.6501
7,97.2,29.16,126.36,12.636,138.996
