Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
270,7,2,1416.96,425.088,1842.048,184.2048,2026.2528,776.53,2802.7828
286,7,2,1433.49,430.047,1863.537,186.3537,2049.8907,776.53,2826.4207
302,7,2,1449.99,434.997,1884.987,188.4987,2073.4857,776.53,2850.0157
110,5,3,936.62,280.986,1217.606,121.7606,1339.3666,832.0,2171.3666
126,5,3,957.95,287.385,1245.335,124.5335,1369.8685,832.0,2201.8685
142,5,3,972.76,291.828,1264.588,126.4588,1391.0468,832.0,2223.0468
158,5,3,988.85,296.655,1285.505,128.5505,1414.0555,832.0,2246.0555
174,5,3,1002.34,300.702,1303.042,130.3042,1433.3462,832.0,2265.3462
190,5,3,1021.56,306.468,1328.028,132.8028,1460.8308,832.0,2292.8308
206,5,3,1036.35,310.905,1347.255,134.7255,1481.9805,832.0,2313.9805
222,5,3,1051.14,315.342,1366.482,136.6482,1503.1302,832.0,2335.1302
238,5,3,1065.93,319.779,1385.709,138.5709,1524.2799,832.0,2356.2799
254,5,3,1084.95,325.485,1410.435,141.0435,1551.4785,832.0,2383.4785
270,5,3,1099.76,329.928,1429.688,142.9688,1572.6568,832.0,2404.6568
286,5,3,1114.55,334.365,1448.915,144.8915,1593.8065,832.0,2425.8065
302,5,3,1129.33,338.799,1468.129,146.8129,1614.9419,832.0,2446.9419
110,6,3,1083.95,325.185,1409.135,140.9135,1550.0485,998.4,2548.4485
126,6,3,1107.02,332.106,1439.126,143.9126,1583.0386,998.4,2581.4386
142,6,3,1122.69,336.807,1459.497,145.9497,1605.4467,998.4,2603.8467
158,6,3,1139.65,341.895,1481.545,148.1545,1629.6995,998.4,2628.0995
174,6,3,1154.01,346.203,1500.213,150.0213,1650.2343,998.4,2648.6343
190,6,3,1174.96,352.488,1527.448,152.7448,1680.1928,998.4,2678.5928
206,6,3,1190.62,357.186,1547.806,154.7806,1702.5866,998.4,2700.9866
222,6,3,1206.27,361.881,1568.151,156.8151,1724.9661,998.4,2723.3661
238,6,3,1221.93,366.579,1588.509,158.8509,1747.3599,998.4,2745.7599
254,6,3,1242.68,372.804,1615.484,161.5484,1777.0324,998.4,2775.4324
270,6,3,1258.36,377.508,1635.868,163.5868,1799.4548,998.4,2797.8548
286,6,3,1274.02,382.206,1656.226,165.6226,1821.8486,998.4,2820.2486
302,6,3,1289.66,386.898,1676.558,167.6558,1844.2138,998.4,2842.6138
110,7,3,1231.28,369.384,1600.664,160.0664,1760.7304,1164.8,2925.5304
126,7,3,1256.09,376.827,1632.917,163.2917,1796.2087,1164.8,2961.0087
142,7,3,1272.62,381.786,1654.406,165.4406,1819.8466,1164.8,2984.6466
158,7,3,1290.45,387.135,1677.585,167.7585,1845.3435,1164.8,3010.1435
174,7,3,1305.68,391.704,1697.384,169.7384,1867.1224,1164.8,3031.9224
190,7,3,1328.36,398.508,1726.868,172.6868,1899.5548,1164.8,3064.3548
206,7,3,1344.89,403.467,1748.357,174.8357,1923.1927,1164.8,3087.9927
222,7,3,1361.4,408.42,1769.82,176.982,1946.802,1164.8,3111.602
238,7,3,1377.93,413.379,1791.309,179.1309,1970.4399,1164.8,3135.2399
254,7,3,1400.41,420.123,1820.533,182.0533,2002.5863,1164.8,3167.3863
270,7,3,1416.96,425.088,1842.048,184.2048,2026.2528,1164.8,3191.0528
286,7,3,1433.49,430.047,1863.537,186.3537,2049.8907,1164.8,3214.6907
302,7,3,1449.99,434.997,1884.987,188.4987,2073.4857,1164.8,3238.2857
