Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,136.07,40.821,176.891,17.6891,1128.48,346.67,1475.15
6,1,158.6,47.58,206.18,20.618,1310.67,416.0,1726.67
