Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,82.9,24.87,107.77,10.777,118.547
6,97.63,29.289,126.919,12.6919,139.6109
7,112.36,33.708,146.068,14.6068,160.6748
