Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,82.21,24.663,106.873,10.6873,117.5603
6,95.08,28.524,123.604,12.3604,135.9644
7,108.95,32.685,141.635,14.1635,155.7985
