Machine Type,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
non-ATHS TR1,5,1,1443.88,433.164,1877.044,244.01572,2121.05972,2064.75,4185.80972
non-ATHS TR1,6,1,1622.41,486.723,2109.133,274.18729,2383.32029,2320.05,4703.37029
non-ATHS TR1,7,1,1800.94,540.282,2341.222,304.35886,2645.58086,2575.34,5220.92086
non-ATHS TR1,5,2,1443.88,433.164,1877.044,244.01572,2121.05972,4129.5,6250.55972
non-ATHS TR1,6,2,1622.41,486.723,2109.133,274.18729,2383.32029,4640.1,7023.42029
non-ATHS TR1,7,2,1800.94,540.282,2341.222,304.35886,2645.58086,5150.68,7796.26086
non-ATHS TR1,5,3,1443.88,433.164,1877.044,244.01572,2121.05972,6194.25,8315.30972
non-ATHS TR1,6,3,1622.41,486.723,2109.133,274.18729,2383.32029,6960.15,9343.47029
non-ATHS TR1,7,3,1800.94,540.282,2341.222,304.35886,2645.58086,7726.02,10371.60086
ATHS TR1,5,1,1648.02,494.406,2142.426,278.51538,2420.94138,2356.67,4777.61138
ATHS TR1,6,1,1864.69,559.407,2424.097,315.13261,2739.22961,2666.51,5405.73961
ATHS TR1,7,1,2081.36,624.408,2705.768,351.74984,3057.51784,2976.34,6033.85784
ATHS TR1,5,2,1648.02,494.406,2142.426,278.51538,2420.94138,4713.34,7134.28138
ATHS TR1,6,2,1864.69,559.407,2424.097,315.13261,2739.22961,5333.02,8072.24961
ATHS TR1,7,2,2081.36,624.408,2705.768,351.74984,3057.51784,5952.68,9010.19784
ATHS TR1,5,3,1648.02,494.406,2142.426,278.51538,2420.94138,7070.01,9490.95138
ATHS TR1,6,3,1864.69,559.407,2424.097,315.13261,2739.22961,7999.53,10738.75961
ATHS TR1,7,3,2081.36,624.408,2705.768,351.74984,3057.51784,8929.02,11986.53784
