Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,33.97,10.19,44.16,4.42,48.58
6,33.97,10.19,44.16,4.42,48.58
7,33.97,10.19,44.16,4.42,48.58
