Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,392.74,117.822,510.562,51.0562,561.6182,190.67,752.2882
6,1,461.21,138.363,599.573,59.9573,659.5303,228.8,888.3303
7,1,529.68,158.904,688.584,68.8584,757.4424,266.93,1024.3724
5,2,392.74,117.822,510.562,51.0562,561.6182,381.33,942.9482
6,2,461.21,138.363,599.573,59.9573,659.5303,457.6,1117.1303
7,2,529.68,158.904,688.584,68.8584,757.4424,533.87,1291.3124
5,3,392.74,117.822,510.562,51.0562,561.6182,515.67,1077.2882
6,3,461.21,138.363,599.573,59.9573,659.5303,618.8,1278.3303
7,3,529.68,158.904,688.584,68.8584,757.4424,721.93,1479.3724
