Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,1142.0,342.6,1484.6,148.46,1633.06,333.67,1966.73
126,5,1,1161.42,348.426,1509.846,150.9846,1660.8306,333.67,1994.5006
142,5,1,1176.38,352.914,1529.294,152.9294,1682.2234,333.67,2015.8934
158,5,1,1191.38,357.414,1548.794,154.8794,1703.6734,333.67,2037.3434
174,5,1,1206.35,361.905,1568.255,156.8255,1725.0805,333.67,2058.7505
190,5,1,1225.84,367.752,1593.592,159.3592,1752.9512,333.67,2086.6212
206,5,1,1240.78,372.234,1613.014,161.3014,1774.3154,333.67,2107.9854
222,5,1,1255.84,376.752,1632.592,163.2592,1795.8512,333.67,2129.5212
238,5,1,1266.45,379.935,1646.385,164.6385,1811.0235,333.67,2144.6935
254,5,1,1289.99,386.997,1676.987,167.6987,1844.6857,333.67,2178.3557
270,5,1,1304.94,391.482,1696.422,169.6422,1866.0642,333.67,2199.7342
286,5,1,1319.94,395.982,1715.922,171.5922,1887.5142,333.67,2221.1842
302,5,1,1334.9,400.47,1735.37,173.537,1908.907,333.67,2242.577
110,5,2,1142.0,342.6,1484.6,148.46,1633.06,667.34,2300.4
126,5,2,1161.42,348.426,1509.846,150.9846,1660.8306,667.34,2328.1706
142,5,2,1176.38,352.914,1529.294,152.9294,1682.2234,667.34,2349.5634
158,5,2,1191.38,357.414,1548.794,154.8794,1703.6734,667.34,2371.0134
174,5,2,1206.35,361.905,1568.255,156.8255,1725.0805,667.34,2392.4205
190,5,2,1225.84,367.752,1593.592,159.3592,1752.9512,667.34,2420.2912
206,5,2,1240.78,372.234,1613.014,161.3014,1774.3154,667.34,2441.6554
222,5,2,1255.84,376.752,1632.592,163.2592,1795.8512,667.34,2463.1912
238,5,2,1266.45,379.935,1646.385,164.6385,1811.0235,667.34,2478.3635
254,5,2,1289.99,386.997,1676.987,167.6987,1844.6857,667.34,2512.0257
270,5,2,1304.94,391.482,1696.422,169.6422,1866.0642,667.34,2533.4042
286,5,2,1319.94,395.982,1715.922,171.5922,1887.5142,667.34,2554.8542
302,5,2,1334.9,400.47,1735.37,173.537,1908.907,667.34,2576.247
110,5,3,1142.0,342.6,1484.6,148.46,1633.06,1001.01,2634.07
126,5,3,1161.42,348.426,1509.846,150.9846,1660.8306,1001.01,2661.8406
142,5,3,1176.38,352.914,1529.294,152.9294,1682.2234,1001.01,2683.2334
158,5,3,1191.38,357.414,1548.794,154.8794,1703.6734,1001.01,2704.6834
174,5,3,1206.35,361.905,1568.255,156.8255,1725.0805,1001.01,2726.0905
190,5,3,1225.84,367.752,1593.592,159.3592,1752.9512,1001.01,2753.9612
206,5,3,1240.78,372.234,1613.014,161.3014,1774.3154,1001.01,2775.3254
222,5,3,1255.84,376.752,1632.592,163.2592,1795.8512,1001.01,2796.8612
238,5,3,1266.45,379.935,1646.385,164.6385,1811.0235,1001.01,2812.0335
254,5,3,1289.99,386.997,1676.987,167.6987,1844.6857,1001.01,2845.6957
270,5,3,1304.94,391.482,1696.422,169.6422,1866.0642,1001.01,2867.0742
286,5,3,1319.94,395.982,1715.922,171.5922,1887.5142,1001.01,2888.5242
302,5,3,1334.9,400.47,1735.37,173.537,1908.907,1001.01,2909.917
110,6,1,1323.13,396.939,1720.069,172.0069,1892.0759,400.4,2292.4759
126,6,1,1344.29,403.287,1747.577,174.7577,1922.3347,400.4,2322.7347
142,6,1,1360.11,408.033,1768.143,176.8143,1944.9573,400.4,2345.3573
158,6,1,1375.98,412.794,1788.774,178.8774,1967.6514,400.4,2368.0514
174,6,1,1391.82,417.546,1809.366,180.9366,1990.3026,400.4,2390.7026
190,6,1,1413.04,423.912,1836.952,183.6952,2020.6472,400.4,2421.0472
206,6,1,1428.85,428.655,1857.505,185.7505,2043.2555,400.4,2443.6555
222,6,1,1444.75,433.425,1878.175,187.8175,2065.9925,400.4,2466.3925
238,6,1,1456.25,436.875,1893.125,189.3125,2082.4375,400.4,2482.8375
254,6,1,1481.52,444.456,1925.976,192.5976,2118.5736,400.4,2518.9736
270,6,1,1497.34,449.202,1946.542,194.6542,2141.1962,400.4,2541.5962
286,6,1,1513.21,453.963,1967.173,196.7173,2163.8903,400.4,2564.2903
302,6,1,1529.03,458.709,1987.739,198.7739,2186.5129,400.4,2586.9129
110,6,2,1323.13,396.939,1720.069,172.0069,1892.0759,800.8,2692.8759
126,6,2,1344.29,403.287,1747.577,174.7577,1922.3347,800.8,2723.1347
142,6,2,1360.11,408.033,1768.143,176.8143,1944.9573,800.8,2745.7573
158,6,2,1375.98,412.794,1788.774,178.8774,1967.6514,800.8,2768.4514
174,6,2,1391.82,417.546,1809.366,180.9366,1990.3026,800.8,2791.1026
190,6,2,1413.04,423.912,1836.952,183.6952,2020.6472,800.8,2821.4472
206,6,2,1428.85,428.655,1857.505,185.7505,2043.2555,800.8,2844.0555
222,6,2,1444.75,433.425,1878.175,187.8175,2065.9925,800.8,2866.7925
238,6,2,1456.25,436.875,1893.125,189.3125,2082.4375,800.8,2883.2375
254,6,2,1481.52,444.456,1925.976,192.5976,2118.5736,800.8,2919.3736
270,6,2,1497.34,449.202,1946.542,194.6542,2141.1962,800.8,2941.9962
286,6,2,1513.21,453.963,1967.173,196.7173,2163.8903,800.8,2964.6903
302,6,2,1529.03,458.709,1987.739,198.7739,2186.5129,800.8,2987.3129
110,6,3,1323.13,396.939,1720.069,172.0069,1892.0759,1201.2,3093.2759
126,6,3,1344.29,403.287,1747.577,174.7577,1922.3347,1201.2,3123.5347
142,6,3,1360.11,408.033,1768.143,176.8143,1944.9573,1201.2,3146.1573
158,6,3,1375.98,412.794,1788.774,178.8774,1967.6514,1201.2,3168.8514
174,6,3,1391.82,417.546,1809.366,180.9366,1990.3026,1201.2,3191.5026
190,6,3,1413.04,423.912,1836.952,183.6952,2020.6472,1201.2,3221.8472
206,6,3,1428.85,428.655,1857.505,185.7505,2043.2555,1201.2,3244.4555
222,6,3,1444.75,433.425,1878.175,187.8175,2065.9925,1201.2,3267.1925
238,6,3,1456.25,436.875,1893.125,189.3125,2082.4375,1201.2,3283.6375
254,6,3,1481.52,444.456,1925.976,192.5976,2118.5736,1201.2,3319.7736
270,6,3,1497.34,449.202,1946.542,194.6542,2141.1962,1201.2,3342.3962
286,6,3,1513.21,453.963,1967.173,196.7173,2163.8903,1201.2,3365.0903
302,6,3,1529.03,458.709,1987.739,198.7739,2186.5129,1201.2,3387.7129
110,7,1,1504.26,451.278,1955.538,195.5538,2151.0918,467.13,2618.2218
126,7,1,1527.16,458.148,1985.308,198.5308,2183.8388,467.13,2650.9688
142,7,1,1543.84,463.152,2006.992,200.6992,2207.6912,467.13,2674.8212
158,7,1,1560.85,468.255,2029.105,202.9105,2232.0155,467.13,2699.1455
174,7,1,1577.29,473.187,2050.477,205.0477,2255.5247,467.13,2722.6547
190,7,1,1600.24,480.072,2080.312,208.0312,2288.3432,467.13,2755.4732
206,7,1,1616.92,485.076,2101.996,210.1996,2312.1956,467.13,2779.3256
222,7,1,1633.68,490.104,2123.784,212.3784,2336.1624,467.13,2803.2924
238,7,1,1646.05,493.815,2139.865,213.9865,2353.8515,467.13,2820.9815
254,7,1,1673.05,501.915,2174.965,217.4965,2392.4615,467.13,2859.5915
270,7,1,1689.74,506.922,2196.662,219.6662,2416.3282,467.13,2883.4582
286,7,1,1706.48,511.944,2218.424,221.8424,2440.2664,467.13,2907.3964
302,7,1,1723.16,516.948,2240.108,224.0108,2464.1188,467.13,2931.2488
110,7,2,1504.26,451.278,1955.538,195.5538,2151.0918,934.26,3085.3518
126,7,2,1527.16,458.148,1985.308,198.5308,2183.8388,934.26,3118.0988
142,7,2,1543.84,463.152,2006.992,200.6992,2207.6912,934.26,3141.9512
158,7,2,1560.85,468.255,2029.105,202.9105,2232.0155,934.26,3166.2755
174,7,2,1577.29,473.187,2050.477,205.0477,2255.5247,934.26,3189.7847
190,7,2,1600.24,480.072,2080.312,208.0312,2288.3432,934.26,3222.6032
206,7,2,1616.92,485.076,2101.996,210.1996,2312.1956,934.26,3246.4556
222,7,2,1633.68,490.104,2123.784,212.3784,2336.1624,934.26,3270.4224
238,7,2,1646.05,493.815,2139.865,213.9865,2353.8515,934.26,3288.1115
254,7,2,1673.05,501.915,2174.965,217.4965,2392.4615,934.26,3326.7215
