Machine Type,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
Floor Level Module And 1-4 Zone Elevated Module,2.33,0.699,3.029,0.3029,3.3319
5-8 Zone Elevated Module,2.3,0.69,2.99,0.299,3.289
