Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,80.0,24.0,104.0,10.4,114.4,13.0,127.4
6,1,93.87,28.161,122.031,12.2031,134.2341,15.6,149.8341
7,1,107.74,32.322,140.062,14.0062,154.0682,18.2,172.2682
5,2,80.0,24.0,104.0,10.4,114.4,26.0,140.4
6,2,93.87,28.161,122.031,12.2031,134.2341,31.2,165.4341
7,2,107.74,32.322,140.062,14.0062,154.0682,36.4,190.4682
5,3,80.0,24.0,104.0,10.4,114.4,39.0,153.4
6,3,93.87,28.161,122.031,12.2031,134.2341,46.8,181.0341
7,3,107.74,32.322,140.062,14.0062,154.0682,54.6,208.6682
